# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
10747,0.584,-141859996286910,0,0,-107096.4,134302.2,9.4,0.180,0,ACQUIRING
10748,1.584,-141859996227820,0,0,-57928.7,141714.3,9.8,0.184,0,ACQUIRING
10749,2.585,-141859996161430,0,0,-26121.0,144789.4,10.4,0.190,0,ACQUIRING
10750,3.584,-141859996188728,0,0,-14887.2,133974.0,11.3,0.195,0,ACQUIRING
10751,4.584,-141859996126267,0,0,-3760.8,129192.4,11.2,0.194,0,ACQUIRING
10752,5.585,-141859996064235,0,0,5817.8,127048.3,11.2,0.193,0,ACQUIRING
10753,6.584,-141859996008156,0,0,13435.6,125377.3,11.5,0.192,0,ACQUIRING
10754,7.585,-141859996056902,0,0,14764.4,118480.4,11.4,0.188,0,ACQUIRING
10755,8.585,-141859995962847,0,0,18580.6,115447.1,11.4,0.188,0,ACQUIRING
10756,9.585,-141859995991161,0,0,19341.1,110233.8,11.2,0.182,0,ACQUIRING
10757,10.584,-141859995892530,0,0,22084.6,108211.1,11.0,0.174,0,ACQUIRING
10758,11.585,-141859995931809,0,0,22333.8,103993.7,11.0,0.172,0,ACQUIRING
10759,12.585,-141859995919366,0,0,22282.3,100212.4,10.9,0.163,0,ACQUIRING
10760,13.585,-141859995798331,0,0,24183.4,99320.2,10.6,0.154,0,ACQUIRING
10761,14.585,-141859995767070,0,0,25641.6,97935.6,10.7,0.157,0,ACQUIRING
10762,15.585,-141859995779019,0,0,26091.8,95214.0,10.7,0.154,0,ACQUIRING
10763,16.585,-141859995780890,0,0,26020.4,92537.4,10.7,0.151,0,ACQUIRING
10764,17.585,-141859995710819,0,0,26539.6,90452.6,10.7,0.147,0,ACQUIRING
10765,18.585,-141859995630169,0,0,27571.1,89925.9,10.7,0.142,0,ACQUIRING
10766,19.585,-141859995668732,0,0,27637.1,87767.1,10.8,0.139,0,ACQUIRING
10767,20.585,-141859995592456,0,0,28174.4,86391.9,10.9,0.136,0,ACQUIRING
