# elapsed_s,phase_ns
0.5,-103559
1.8,-103439
3.1,-103501
4.4,-103363
5.7,-103535
7.1,-103547
8.4,-103546
9.7,-103632
11.0,-103488
12.3,-103573
13.6,-103368
15.0,-103537
16.3,-103602
17.6,-103637
18.9,-103487
20.2,-103588
21.5,-103108
22.9,-103247
24.2,-103429
25.5,-103488
26.8,-103565
28.2,-103617
29.5,-103607
30.8,-103357
32.2,-103317
33.5,-103593
34.8,-103517
36.2,-102857
37.5,-103602
38.8,-103449
40.1,-103472
41.4,-103487
42.7,-103346
44.0,-103615
45.3,-103397
46.6,-103398
48.0,-103497
49.3,-103577
50.6,-103448
51.9,-103417
53.3,-103547
54.6,-103407
55.9,-103005
57.2,-103147
58.5,-103558
59.9,-103382
61.2,38378
62.5,-103447
63.8,-103368
65.1,-103606
66.5,-103598
67.8,-103416
69.1,-103264
70.4,-103405
71.8,-103527
73.1,-103557
74.4,-103577
75.7,-103547
77.0,-103567
78.3,-103608
79.7,-103085
81.0,-103446
82.3,-103287
83.6,-103598
84.9,-103487
86.2,-102747
87.5,-103562
88.8,-103435
90.2,-103528
91.5,-103529
92.8,-103578
94.1,-103591
95.4,-103581
96.7,-103589
98.0,-103509
99.3,-103394
100.7,-103587
102.0,-103237
103.3,-103497
104.7,-103507
106.0,-103117
107.3,-103588
108.6,-103517
110.0,-103447
111.3,-103526
112.6,-103558
113.9,-103403
115.2,-103587
116.5,-103617
117.9,-103627
119.2,-103512
120.5,-103605
121.8,-103497
123.1,-103592
124.5,-103541
125.8,-103522
127.1,-103478
128.4,-103432
129.7,-103600
131.0,-103527
132.3,-103357
133.6,-103617
135.0,97928
136.3,90818
137.6,89159
138.9,88108
140.2,86880
141.5,87624
142.8,84394
144.2,80998
145.5,76158
146.8,74580
148.2,74150
149.5,70599
150.8,69741
152.1,69912
153.4,70358
154.7,70982
156.0,71608
157.3,72239
158.7,69219
160.0,66830
161.3,65657
162.6,63620
163.9,61222
165.2,63918
166.6,59277
167.9,59400
169.2,57327
170.5,55471
171.9,53911
173.2,53308
174.5,51378
175.8,50760
177.1,49541
178.5,43778
179.8,41925
181.1,40762
182.4,37478
183.7,36173
185.0,34757
186.4,29878
187.7,30824
189.0,29228
190.4,23428
191.7,22507
193.0,21600
194.3,20730
195.6,19398
196.9,15585
198.2,15488
199.6,13417
200.9,13437
202.2,12659
203.5,11141
204.8,11187
206.2,12513
207.5,12098
208.8,12200
210.1,11055
211.4,12297
212.7,13693
214.0,15548
215.4,15425
216.7,14486
218.0,14251
219.3,18787
220.6,18463
222.0,17562
223.4,20016
224.7,21194
226.0,19996
227.3,21070
228.6,21062
229.9,23069
231.2,25086
232.6,21020
233.9,22440
235.2,25664
236.5,23986
237.8,26811
239.1,28710
240.5,27299
241.8,25768
243.1,25056
244.4,26669
245.7,27108
247.0,23768
248.3,21479
249.7,19174
251.0,17557
252.3,17097
253.6,13932
254.9,14007
256.2,13346
257.5,11927
258.8,11375
260.2,10769
261.5,10098
262.8,10375
264.1,9416
265.5,8584
266.8,5033
268.1,5230
269.4,7321
270.7,6892
272.1,5600
273.4,4895
274.7,5378
276.0,6995
277.3,4609
278.7,5712
280.0,5855
281.3,6475
282.6,5393
283.9,6954
285.2,4540
286.6,3511
287.9,6498
289.2,7383
290.5,6407
291.8,6929
293.2,6817
294.5,7329
295.8,7896
297.1,4437
298.4,6140
299.7,6869
301.0,5176
302.3,7297
303.6,5380
305.0,4819
306.3,2576
307.6,3248
308.9,2938
310.2,3533
311.5,2438
312.8,4988
314.2,5796
315.4,3829
316.8,5536
318.1,8018
319.4,9748
320.7,7709
322.0,7808
323.3,7607
324.7,9780
326.0,8558
327.3,9274
328.6,8839
329.9,6431
331.2,8061
332.5,8768
333.8,6142
335.2,6468
336.5,5329
337.8,5948
339.1,6878
340.4,7587
341.7,6298
343.0,6900
344.3,6358
345.6,3697
347.0,5288
348.3,9560
349.6,10545
351.0,12453
352.3,12951
353.6,12768
354.9,12958
356.2,13519
357.6,12148
358.9,14664
360.2,14042
361.5,14308
362.8,14030
364.2,13178
365.5,10612
366.8,10268
368.1,8531
369.4,9138
370.7,9278
372.1,8658
373.5,9410
374.8,7423
376.1,5678
377.4,5808
378.7,5899
380.0,6668
381.4,7595
382.7,7909
384.0,8673
385.4,8968
386.7,8061
388.0,6796
389.3,11050
390.6,9034
391.9,7555
393.2,9818
394.5,10478
395.8,10056
397.1,6001
398.5,7237
399.8,6611
401.1,6273
402.5,4996
403.8,8588
405.1,6860
406.4,3604
407.7,3137
409.0,3207
410.3,3627
411.7,1795
413.0,3418
414.3,3780
415.6,3438
416.9,1767
418.2,3338
419.6,5428
420.9,5560
422.2,5105
423.5,9236
424.9,5158
426.2,6090
427.5,7341
428.8,6878
430.1,6912
431.5,10538
432.8,8329
434.0,9333
435.3,4560
436.6,7412
438.0,7274
439.3,6418
440.6,4149
442.0,7057
443.3,8381
444.6,5738
445.9,9397
447.2,7290
448.5,7187
449.9,6074
451.2,6240
452.4,4882
453.8,6225
455.1,7828
456.4,8276
457.7,8834
459.0,9010
460.3,11690
461.6,11484
462.9,12178
464.2,13257
465.5,10814
466.9,11780
468.2,12818
469.5,10818
470.8,10111
472.1,12238
473.4,10210
474.8,13132
476.1,13949
477.4,14108
478.7,15976
480.0,16628
481.3,16471
482.6,16298
484.0,16238
485.3,13302
486.6,11699
487.9,13606
489.2,13419
490.5,16739
491.8,16378
493.2,15801
494.5,13450
495.8,10503
497.1,12557
498.4,12467
499.7,11637
501.0,11838
502.4,12062
503.7,10323
505.0,10373
506.3,9596
507.7,9949
509.0,7657
510.3,8097
511.6,6958
513.0,6597
514.3,5148
515.6,4078
516.9,2030
518.3,2639
519.6,2451
520.9,2568
522.3,1598
523.6,1860
524.9,1823
526.2,-250
527.6,3085
528.9,3780
530.2,5918
531.5,4797
532.8,4292
534.1,5578
535.5,6909
536.8,6680
538.1,3999
539.5,8369
540.8,7238
542.1,8195
543.5,8516
544.8,10788
546.1,8396
547.4,7356
548.7,10004
550.0,8626
551.3,7451
552.7,9248
554.0,7106
555.3,6296
556.6,7388
557.9,6087
559.2,7906
560.6,8508
561.9,8566
563.2,7289
564.5,9276
