# elapsed_s,phase_ns
0.4,-410088
1.8,-411148
3.2,-410707
4.6,-411248
6.0,-411288
7.5,-408497
8.9,-411007
10.2,-407569
11.6,-411088
13.0,-411168
14.4,-410180
15.8,-410789
17.2,-410448
18.6,-408928
19.9,-411293
21.3,-409068
22.7,-411250
24.1,-407948
25.5,-411140
26.9,-408848
28.2,-411455
29.6,-410888
31.0,-409828
32.4,-409580
33.8,-410834
35.1,-408166
36.5,-410508
37.9,-411248
39.3,-411369
40.7,-411278
42.2,-404027
43.5,-411368
44.9,-409429
46.3,-411188
47.7,-409548
49.0,-409947
50.5,-410628
51.9,-411140
53.2,-411289
54.5,-410660
55.9,-411208
57.3,-409228
58.7,-411328
60.0,61392
61.4,99782
62.8,171991
64.1,206071
65.5,266436
66.9,285272
68.3,303552
69.7,322320
71.1,334207
72.5,345273
73.8,349481
75.2,352996
76.6,367352
78.0,379351
79.3,385623
80.7,401191
82.1,406635
83.5,-411147
84.8,-410868
86.2,-410710
87.6,-410668
89.0,405792
90.3,406152
91.7,396520
93.1,386748
94.5,371309
95.8,362513
97.2,351392
98.6,337961
100.0,335192
101.4,325791
102.7,307912
104.0,298793
105.4,275032
106.8,265151
108.2,251872
109.6,230311
111.0,221792
112.4,201800
113.8,192472
115.2,181593
116.6,161671
118.0,155992
119.4,143272
120.8,132153
122.1,126632
123.4,117312
124.8,111993
126.2,111025
127.6,107304
129.0,101224
130.4,95791
131.8,89870
133.1,87308
134.5,80307
135.9,79281
137.2,79273
138.5,74792
139.9,74114
141.3,72866
142.7,65432
144.1,64952
145.5,62286
146.9,59990
148.3,58952
149.7,55719
151.0,55476
152.4,52275
153.8,51106
155.2,48599
156.6,48440
158.0,47802
159.3,45312
160.7,45361
162.2,45180
163.6,44553
165.0,44752
166.5,42965
167.9,44359
169.2,43752
170.6,42108
172.0,42468
173.3,40192
174.7,37120
176.1,36308
177.5,34071
178.9,33033
180.3,32481
181.7,31959
183.1,31472
184.4,32030
185.8,32192
187.2,32391
188.6,31944
190.0,32312
191.4,31321
192.7,31997
194.1,30831
195.5,27704
196.9,28073
198.3,27471
199.7,27152
201.1,26359
202.4,23923
203.8,22163
205.3,22400
206.6,21431
208.0,20873
209.4,20531
210.8,20952
212.1,20785
213.5,17312
214.9,16511
216.3,19201
217.7,14938
219.1,14111
220.5,15512
221.8,12879
223.2,15031
224.5,13111
225.9,13310
227.3,12426
228.7,9872
230.0,9711
231.4,10561
232.8,11911
234.1,11911
235.5,11159
236.9,11071
238.3,11840
239.7,9743
241.1,11678
242.5,11511
243.8,10313
245.2,12032
246.6,11073
248.0,12273
249.5,14472
250.9,14991
252.2,15111
253.6,14912
255.0,15186
256.4,14472
257.8,13278
259.2,10231
260.5,12393
261.8,11152
263.2,12183
264.5,12792
265.9,12672
267.2,12801
268.6,10593
270.0,10552
271.4,11472
272.7,8304
274.1,8593
275.5,6080
276.8,5150
278.1,3472
279.5,4633
280.9,6871
282.3,6552
283.6,6510
285.0,5396
286.5,5632
287.9,8031
289.3,4880
290.6,3595
292.0,3210
293.4,4045
294.8,5272
296.2,3079
297.6,2233
299.0,112
300.4,1507
301.8,3260
303.1,4750
304.5,5402
305.9,5151
307.2,3514
308.5,4713
309.9,8198
311.3,6793
312.7,7752
314.0,10352
315.4,9432
316.8,10513
318.2,9871
319.5,9753
320.9,11391
322.3,10312
323.7,10872
325.1,9969
326.5,8111
327.8,8281
329.2,7963
330.6,8552
332.0,7359
333.4,7952
334.8,5752
336.1,5322
337.5,3951
338.9,4031
340.3,4072
341.7,6623
343.1,9389
344.5,8011
345.9,7470
347.2,7952
348.6,5752
350.0,6358
351.4,5911
352.8,7433
354.1,6321
355.5,8353
356.9,6843
358.2,5876
359.6,6071
361.0,6280
362.4,7633
363.7,12871
365.1,15035
366.4,14591
367.8,15231
369.2,16702
370.6,19916
371.9,17440
373.3,16513
374.7,16112
376.1,14560
377.5,16912
378.8,16480
380.2,17706
381.6,17112
382.9,17151
384.3,17873
385.7,17279
387.1,16680
388.5,16765
389.8,16039
391.2,17353
392.6,17640
394.1,18325
395.4,19746
396.8,15508
398.2,17112
399.5,16699
400.9,18391
402.3,20552
403.7,19473
405.1,19830
406.5,19592
407.9,18635
409.2,15552
410.5,14243
411.9,17990
413.3,16833
414.7,16963
416.0,17190
417.5,14622
418.9,13591
420.2,14867
421.5,14166
422.9,12791
424.3,13192
425.7,12432
427.1,11312
428.5,14200
429.9,15832
431.3,15432
432.7,15233
434.1,15921
435.5,17713
436.8,18588
438.2,16593
439.6,16834
441.0,17912
442.4,19153
443.7,17871
445.1,17271
446.5,19680
447.9,21352
449.2,16800
450.6,19873
452.0,19713
453.4,19727
454.8,17872
456.2,18471
457.5,15240
458.9,15036
460.3,14517
461.6,17085
463.1,16951
464.5,17398
465.9,18483
467.2,16364
468.5,12682
469.9,14633
471.3,13592
472.7,13870
474.1,12671
475.5,12233
476.9,9871
478.2,9231
479.6,7632
481.0,9699
482.4,9073
483.8,8671
485.1,7233
486.5,2351
487.9,4992
489.2,1788
490.6,2437
491.9,2875
493.3,2552
494.7,5333
496.1,5506
497.5,5551
498.8,4003
500.2,5000
501.6,8112
503.0,8992
504.4,8991
505.8,10739
507.1,11072
508.4,8109
509.8,10832
511.3,15243
512.6,15031
514.0,14837
515.4,16552
516.8,14032
518.1,14991
519.5,12892
520.9,12795
522.3,12632
523.6,10991
525.0,11631
526.4,10633
527.8,9481
529.1,9189
530.5,10530
531.8,11040
533.2,10630
534.6,11798
536.0,10831
537.4,12498
538.7,10111
540.1,9840
541.5,10351
542.9,9791
544.2,9991
545.6,10041
547.0,7522
548.4,5030
549.8,3031
551.2,3791
552.6,4512
554.0,6066
555.4,4992
556.8,7991
558.1,6551
559.5,3772
560.9,2830
562.3,4188
563.6,2920
565.0,1601
566.3,3192
567.7,3000
569.2,3591
570.6,4311
571.9,7592
573.3,8353
574.7,10473
576.1,10272
577.5,9159
578.8,9232
580.2,8912
581.6,12470
583.0,11472
584.3,11861
585.7,12599
587.1,12313
588.5,11807
589.8,8230
591.2,10193
592.6,14799
594.0,13829
595.4,15031
596.8,16111
598.1,12513
599.5,12044
600.9,14111
602.2,13112
603.6,13273
605.0,14831
606.3,13951
607.6,11157
609.0,12640
610.4,14551
611.8,13552
613.2,14071
614.5,11873
615.9,11754
617.2,13832
