# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
11917,0.862,-141860027770212,-40319,24235,-29953.1,30180.2,8.6,0.102,66349949,LOCKED
11918,1.862,-141860027808538,-45213,19341,-30048.9,30772.1,8.8,0.085,66411317,LOCKED
11919,2.862,-141860027825899,-31584,32970,-30042.5,30699.2,8.9,0.091,66483249,LOCKED
11920,3.862,-141860027833313,-7768,56786,-30087.9,30618.2,8.8,0.094,66568780,LOCKED
11921,4.862,-141860027853438,4134,68688,-30190.2,29425.7,8.8,0.091,66641646,LOCKED
11922,5.862,-141860027877796,9723,74277,-30194.4,29409.0,8.8,0.095,66708173,LOCKED
11923,6.862,-141860027930933,-12386,52168,-30214.8,29456.8,8.8,0.098,66746115,LOCKED
11924,7.863,-141860027958314,-7046,57508,-30326.3,28454.6,8.7,0.096,66811687,LOCKED
11925,8.863,-141860027966516,14325,78879,-30313.1,28506.1,8.6,0.100,66897520,LOCKED
11926,9.862,-141860027971470,38776,103330,-30333.1,28175.5,8.7,0.097,66984978,LOCKED
11927,10.863,-141860027985588,51033,115587,-30223.5,28973.3,8.7,0.101,67065279,LOCKED
11928,11.862,-141860028095207,-25231,39323,-30335.4,28700.1,8.7,0.099,67043428,LOCKED
11929,12.862,-141860028117172,-16565,47989,-30322.4,28602.8,8.7,0.103,67116549,LOCKED
11930,13.863,-141860028135194,-3122,61432,-30373.4,28387.7,8.5,0.103,67189365,LOCKED
11931,14.862,-141860028157324,3764,68318,-30312.9,28084.2,8.6,0.106,67260911,LOCKED
11932,15.863,-141860028177089,14211,78765,-30331.6,27947.0,8.5,0.107,67330949,LOCKED
11933,16.863,-141860028187291,30938,95492,-30215.9,27856.6,8.3,0.108,67416791,LOCKED
11934,17.863,-141860028232877,15087,79641,-30217.4,27847.7,8.2,0.108,67484950,LOCKED
11935,18.863,-141860028277563,-311,64243,-30171.1,27611.0,8.3,0.107,67549667,LOCKED
11936,19.862,-141860028343545,-33898,30656,-30224.0,27987.5,8.3,0.109,67631255,LOCKED
11937,20.863,-141860028277874,56947,121501,-30070.6,28738.4,8.4,0.111,67591006,LOCKED
11938,21.863,-141860028366565,-1760,62794,-30063.4,28728.4,8.5,0.105,67701712,LOCKED
11939,22.863,-141860028421382,-25733,38821,-30058.9,28683.9,8.5,0.105,67795788,LOCKED
11940,23.863,-141860028371708,50986,115540,-29995.7,29438.2,8.4,0.100,67880269,LOCKED
11941,24.863,-141860028504262,-48896,15658,-30045.8,30051.5,8.5,0.094,67847497,LOCKED
11942,25.863,-141860028494236,-7038,57516,-30121.9,29658.6,8.5,0.094,67948052,LOCKED
11943,26.864,-141860028485561,29072,93626,-30038.2,29813.0,8.5,0.094,68052367,LOCKED
11944,27.863,-141860028494359,48392,112946,-30024.5,30028.2,8.6,0.095,68130563,LOCKED
11945,28.864,-141860028543329,27005,91559,-29949.4,30175.0,8.4,0.101,68072910,LOCKED
11946,29.864,-141860028649251,-44739,19815,-30082.8,30484.9,8.5,0.103,68160910,LOCKED
11947,30.864,-141860028679228,-42859,21695,-30098.6,30693.4,8.4,0.097,68225998,LOCKED
11948,31.863,-141860028641576,23598,88152,-30074.3,30831.8,8.4,0.098,68356630,LOCKED
11949,32.864,-141860028660321,31659,96213,-29966.3,30863.7,8.5,0.099,68427563,LOCKED
11950,33.866,-141860028679083,39744,104298,-29879.2,31302.8,8.4,0.093,68504206,LOCKED
11951,34.864,-141860028722297,26272,90826,-29916.3,30840.4,8.3,0.084,68445618,LOCKED
11952,35.864,-141860028745366,30847,95401,-29855.9,31119.8,7.8,0.065,68515468,LOCKED
11953,36.864,-141860028789331,15416,79970,-29816.6,31175.7,7.8,0.065,68668635,LOCKED
11954,37.864,-141860028807136,24455,89009,-29711.2,30975.1,7.8,0.075,68741197,LOCKED
11955,38.864,-141860028826086,32846,97400,-29649.4,31292.9,7.9,0.073,68812775,LOCKED
11956,39.864,-141860028874800,10991,75545,-29530.5,30363.3,7.7,0.061,68756986,LOCKED
11957,40.865,-141860028893782,20301,84855,-29503.4,30481.1,7.8,0.046,68828958,LOCKED
11958,41.864,-141860028957265,-14513,50041,-29438.2,29726.9,7.9,0.004,68963194,LOCKED
11959,42.864,-141860028982430,-9055,55499,-29481.4,29677.1,7.9,-0.006,69027685,LOCKED
11960,43.865,-141860028994976,6265,70819,-29412.3,29346.9,7.9,-0.015,69110251,LOCKED
11961,44.865,-141860029012122,18055,82609,-29419.0,29298.8,7.9,-0.024,69182388,LOCKED
11962,45.865,-141860029043671,13761,78315,-29335.5,28996.0,7.9,-0.019,69139546,LOCKED
11963,46.865,-141860029161873,-69317,0,-29504.7,30262.0,7.6,-0.032,69214749,LOCKED
11964,47.864,-141860029186827,-61369,7948,-29569.4,31212.8,7.5,-0.045,69287601,LOCKED
11965,48.865,-141860029199925,-40870,28447,-29699.4,31379.3,7.5,-0.040,69362900,LOCKED
11966,49.864,-141860029214503,-24550,44767,-29717.4,31496.2,7.5,-0.041,69439938,LOCKED
11967,50.865,-141860029238233,-18733,50584,-29677.8,31096.3,7.6,-0.056,69510952,LOCKED
11968,51.865,-141860029315977,-63406,5911,-29739.0,32033.4,7.5,-0.058,69525519,LOCKED
11969,52.865,-141860029314777,-29455,39862,-29838.0,32072.9,7.6,-0.069,69616921,LOCKED
11970,53.865,-141860029330939,-15622,53695,-29819.7,31947.4,7.5,-0.069,69691742,LOCKED
11971,54.865,-141860029337941,7633,76950,-29853.9,31750.6,7.4,-0.070,69780260,LOCKED
11972,55.864,-141860029360087,13152,82469,-29768.2,31427.9,7.3,-0.070,69850686,LOCKED
11973,56.865,-141860029481637,-72981,0,-29924.3,32880.9,7.4,-0.062,69820172,LOCKED
11974,57.865,-141860029497251,-55914,17067,-29966.7,33469.7,7.3,-0.062,69897644,LOCKED
11975,58.865,-141860029502357,-28147,44834,-30062.7,33493.0,7.2,-0.056,69983765,LOCKED
11976,59.866,-141860029522971,-18298,54683,-30051.9,33420.5,7.2,-0.056,70067180,LOCKED
11977,60.865,-141860029558353,-20805,52176,-30156.1,33127.6,7.4,-0.051,70145707,LOCKED
11978,61.865,-141860029622240,-49316,23665,-30330.5,33103.1,7.1,-0.053,70142977,LOCKED
11979,62.865,-141860029643597,-36303,36678,-30468.7,32967.4,7.2,-0.057,70211840,LOCKED
11980,63.866,-141860029646374,-7263,65718,-30522.9,32825.2,7.1,-0.057,70303156,LOCKED
11981,64.866,-141860029681032,-10151,62830,-30567.3,32789.4,7.1,-0.057,70372931,LOCKED
11982,65.866,-141860029696801,4692,77673,-30577.3,32765.2,7.0,-0.056,70434522,LOCKED
11983,66.865,-141860029697372,33558,106539,-30577.2,32766.3,6.9,-0.055,70527346,LOCKED
11984,67.866,-141860029779565,-15836,57145,-30660.1,32558.1,7.1,-0.059,70499909,LOCKED
11985,68.865,-141860029840331,-42563,30418,-30755.3,33028.8,7.0,-0.057,70572287,LOCKED
11986,69.866,-141860029849176,-19701,53280,-30769.2,33098.6,7.0,-0.058,70655285,LOCKED
11987,70.866,-141860029860166,-877,72104,-30720.8,32871.7,7.1,-0.059,70739120,LOCKED
11988,71.865,-141860029928090,-33989,38992,-30865.3,32535.8,7.1,-0.060,70768548,LOCKED
11989,72.866,-141860029935310,-8200,64781,-30957.1,31998.6,7.1,-0.060,70849960,LOCKED
11990,73.866,-141860029925280,31806,104787,-30961.9,31946.1,7.3,-0.058,70954771,LOCKED
11991,74.866,-141860029930762,54461,127442,-30913.7,32585.5,7.2,-0.055,71041282,LOCKED
11992,75.866,-141860030064780,-44955,28026,-31020.2,33083.1,7.2,-0.056,71004801,LOCKED
11993,76.866,-141860030056698,-5550,67431,-31025.8,33090.2,7.4,-0.059,71105693,LOCKED
11994,77.866,-141860030056512,24401,97382,-31004.5,33214.0,7.3,-0.055,71198385,LOCKED
11995,78.866,-141860030072490,37728,110709,-30983.8,33422.1,7.2,-0.056,71277421,LOCKED
11996,79.866,-141860030091456,48556,121537,-31006.3,33031.2,7.1,-0.051,71352222,LOCKED
11997,80.866,-141860030138173,29618,102599,-30896.9,32976.3,7.0,-0.046,71296027,LOCKED
11998,81.866,-141860030210309,-10143,62838,-30952.7,32873.3,6.9,-0.054,71419286,LOCKED
11999,82.866,-141860030236170,-3142,69839,-31041.4,32239.2,7.1,-0.056,71490804,LOCKED
12000,83.866,-141860030247480,14515,87496,-30963.5,32043.5,7.2,-0.058,71568434,LOCKED
12001,84.866,-141860030248818,43574,116555,-31008.3,31204.3,7.0,-0.070,71666202,LOCKED
