# elapsed_s,phase_ns
0.6,-411367
2.0,-411340
3.4,-411068
4.7,-411206
6.1,-411360
7.4,-411440
8.7,-411246
10.1,-411446
11.4,-411475
12.7,-411327
14.1,-411406
15.4,-411406
16.7,-411176
18.1,-411247
19.4,-411327
20.7,-411207
22.1,-410947
23.4,-411006
24.8,-411007
26.2,-411327
27.6,-411366
29.0,-411366
30.4,-411167
31.7,-411404
33.0,-410927
34.4,-411377
35.9,-410951
37.2,-411354
38.5,-411287
39.9,-410723
41.2,-411366
42.6,-410966
43.9,-411192
45.3,-411360
46.7,-411040
48.1,-411347
49.4,-411400
50.7,-411491
52.1,-411206
53.5,-411407
54.9,-410966
56.2,-410487
57.6,-411480
59.0,-411246
60.4,53874
61.7,112310
63.0,194112
64.4,228033
65.7,256993
67.1,291032
68.5,301993
69.9,313153
71.2,345796
72.6,357593
74.0,372983
75.4,395642
76.7,405440
78.0,-411246
79.4,-411520
80.7,-411287
82.1,-411448
83.5,-411326
84.8,-411166
86.1,-411147
87.5,-411406
88.9,-411366
90.2,405355
91.6,398801
93.0,392944
94.4,384195
95.8,376959
97.1,362010
98.4,355577
99.8,345037
101.2,327049
102.5,320630
103.9,313194
105.2,292279
106.5,281113
107.9,269560
109.2,246713
110.6,235367
112.0,223506
113.4,206718
114.8,200016
116.1,183793
117.5,176153
118.9,169360
120.3,154314
121.7,145911
123.0,132913
124.4,127474
125.7,124398
127.0,114831
128.4,110071
129.8,107033
131.2,100223
132.6,100553
134.0,97353
135.4,88193
136.7,85594
138.1,79519
139.5,75864
140.9,73277
142.3,64998
143.6,60673
145.0,55960
146.4,54993
147.7,52834
149.0,51553
150.4,53512
151.7,53953
153.0,49552
154.4,47634
155.7,46753
157.1,42514
158.4,40355
159.8,37915
161.2,33433
162.6,32119
163.9,30947
165.3,28900
166.6,27392
168.0,26389
169.3,26280
170.6,25634
172.0,26473
173.4,25922
174.8,24341
176.1,21473
177.5,22033
178.8,19194
180.1,15876
181.5,11555
182.9,11514
184.3,14834
185.7,16674
187.0,17993
188.4,16033
189.8,19200
191.1,18753
192.5,17520
193.9,19831
195.3,16561
196.7,16993
198.0,13633
199.4,11149
200.8,8189
202.1,6115
203.5,6361
204.9,6593
206.2,7594
207.6,7713
209.0,7314
210.3,10714
211.8,10713
213.2,10230
214.6,10720
215.9,11310
217.2,10566
218.6,12113
220.0,12619
221.3,14233
222.7,12072
224.1,13627
225.5,17194
226.8,18193
228.2,16680
229.6,17033
230.9,16873
232.3,18953
233.6,19513
235.0,19589
236.3,21313
237.6,23233
239.0,21192
240.5,19873
241.8,19554
243.2,21313
244.6,21040
246.0,21754
247.4,21040
248.7,22671
250.0,24992
251.4,23590
252.8,27313
254.2,26713
255.5,26914
256.9,26513
258.3,28669
259.6,26953
261.0,27109
262.3,24674
263.8,24483
265.1,24233
266.5,23401
267.9,23032
269.3,20593
270.7,21074
272.1,18646
273.4,18349
274.7,19073
276.1,19673
277.5,16519
278.9,15998
280.3,20553
281.6,17280
283.0,17487
284.3,16752
285.7,15833
287.1,13393
288.5,12957
289.9,10938
291.3,7673
292.7,6244
294.1,7834
295.4,7108
296.8,8880
298.2,6474
299.5,7153
300.9,5513
302.2,6398
303.6,7112
305.0,7274
306.3,5753
307.7,5553
309.1,6040
310.4,5996
311.8,7113
313.1,5833
314.5,6234
315.8,8120
317.2,7607
318.6,8833
320.0,9633
321.3,5433
322.7,6433
324.1,7632
325.4,7198
326.8,6387
328.2,6716
329.6,6273
331.0,5992
332.4,9720
333.7,10034
335.1,9272
336.4,9072
337.8,5353
339.2,7274
340.5,9833
341.9,6122
343.3,7913
344.6,8981
346.0,9198
347.4,11073
348.7,12674
350.1,13384
351.4,11178
352.8,11114
354.2,13593
355.6,12874
357.0,14091
358.3,13800
359.7,12553
361.0,10834
362.4,11720
363.8,12274
365.2,12034
366.6,12954
368.0,12950
369.4,12960
370.7,14792
372.1,11713
373.4,12712
374.8,12123
376.2,13880
377.5,13154
378.8,12411
380.2,14724
381.6,13218
383.0,13018
384.3,10793
385.7,11764
387.1,11793
388.4,10722
389.8,12073
391.2,10394
392.5,11806
393.9,13683
395.3,15237
396.7,15194
398.0,16038
399.4,17795
400.7,18686
402.1,16700
403.5,15595
404.8,16632
406.2,15572
407.6,14601
408.9,15159
410.3,14115
411.7,12353
413.0,12200
414.4,13714
415.8,15241
417.3,16433
418.6,15912
419.9,16195
421.3,13273
422.7,12832
424.1,12833
425.4,12073
426.8,14994
428.1,13680
429.4,13558
430.8,13193
432.2,14594
433.6,16230
434.9,16833
436.3,17914
437.6,17233
439.0,16793
440.4,16432
441.7,13033
443.1,16000
444.5,15553
445.9,14953
447.2,14040
448.6,12793
450.0,11594
451.3,9870
452.7,10793
454.1,9706
455.4,10681
456.7,11396
458.1,10480
459.4,10320
460.7,11432
462.1,6993
463.5,9153
464.9,8913
466.3,7200
467.7,8353
469.1,10320
470.4,10043
471.8,8193
473.2,10635
474.6,12194
476.0,11274
477.4,9514
478.7,9834
480.1,9239
481.4,8315
482.8,8154
484.1,9680
485.5,10829
486.8,9438
488.2,5995
489.6,5079
491.0,3795
492.3,3754
493.6,5673
495.1,6274
496.5,5713
497.8,5992
499.1,5282
500.5,6353
501.9,6353
503.2,7735
504.6,8001
506.0,7353
507.4,7279
508.7,7434
510.1,7153
511.4,6353
512.8,7632
514.2,6551
515.6,6273
517.0,8520
518.3,6714
519.6,7704
521.0,8280
522.3,8433
523.7,5444
525.1,7842
526.4,6594
527.8,5862
529.2,5874
530.6,5221
531.9,3753
533.3,6033
534.7,5112
536.1,9240
537.5,8113
539.0,8902
540.4,7527
541.7,6153
543.1,7120
544.4,8275
545.8,9353
547.2,8592
548.5,11687
549.9,8233
551.3,9800
552.6,6968
554.1,11589
555.4,10764
556.8,10674
558.1,11476
559.5,10073
560.9,10313
562.3,9435
563.7,8640
565.1,8991
566.4,6634
567.7,6674
569.1,7674
570.4,6993
571.8,5343
573.2,6646
574.6,5033
576.0,4433
577.4,3240
578.7,3443
580.0,3748
581.5,3353
582.9,2036
584.3,5393
585.6,5049
587.0,5473
588.5,6233
589.8,9114
591.2,5632
592.6,7073
594.0,9199
595.4,7873
596.7,5873
598.0,4793
599.4,3720
600.7,3513
602.0,269
603.4,3153
604.8,2989
606.1,5433
607.5,239
608.8,4513
610.2,6393
611.6,4113
612.9,4913
614.2,7155
615.6,5845
616.9,6710
618.3,9557
619.6,7433
621.0,7939
622.4,5553
623.7,8073
625.1,5955
626.5,8474
627.8,6633
629.2,9114
630.6,7155
631.9,6633
633.3,4113
634.6,2726
636.0,2714
637.4,634
638.7,591
640.0,-1001
641.5,-1520
642.8,-2646
644.1,-1048
645.5,-1046
646.8,-607
648.2,473
649.5,1530
650.9,958
652.2,1914
653.6,2368
655.0,2113
656.4,4233
657.7,3401
659.0,4634
660.4,2036
661.8,794
663.2,2234
664.6,2114
665.9,5032
667.4,723
668.8,3633
670.1,4553
671.6,3833
672.9,3821
674.3,8516
675.7,8240
677.0,9431
678.3,11034
679.7,10603
681.1,10793
682.4,13151
683.8,15076
685.2,15920
686.5,14347
687.9,17521
689.2,16551
690.6,19790
692.0,16354
693.4,18393
694.7,17802
696.1,19193
697.4,16836
698.8,16514
700.1,18033
701.4,15233
702.8,14312
704.1,16557
705.5,16697
706.9,14192
708.2,15474
709.5,14192
710.9,13472
712.3,13393
713.6,13991
715.0,14195
716.4,13314
717.7,12920
719.0,15553
720.4,14633
721.7,12869
723.0,14249
724.5,13760
725.8,14393
727.1,12713
728.5,14313
729.9,16708
731.3,11432
732.7,11365
734.1,10945
735.4,10930
736.7,11233
738.1,9833
739.4,9593
740.7,8525
742.1,7554
743.5,6154
744.8,4313
746.2,5354
747.6,5080
748.9,4955
750.3,6711
751.7,4714
753.1,9513
754.4,10794
755.7,10193
757.1,8240
758.4,8633
759.8,9964
761.2,6408
762.6,6986
763.9,7874
765.3,10096
766.6,10913
768.0,12345
769.3,10913
770.7,11352
772.1,11393
773.4,13273
774.8,13754
776.1,15240
777.4,14033
778.9,14959
780.2,15408
781.5,13873
782.9,15241
784.3,16394
785.7,17033
787.1,14249
788.4,16513
789.8,17473
791.1,16120
792.5,16872
793.9,15873
795.3,13311
796.6,11753
798.0,13669
799.3,10921
800.6,13993
802.0,12359
803.4,13474
804.7,13834
806.1,11154
807.5,12254
808.8,11593
810.2,12394
811.6,8548
812.9,8034
814.3,13090
815.7,11840
817.0,9911
818.4,9400
819.7,6512
821.0,7128
822.4,7681
823.8,8997
825.1,10753
826.5,9196
827.8,9674
829.2,9521
830.5,7415
831.8,8113
833.2,6841
834.6,8233
836.0,8960
837.3,12553
838.6,13832
840.0,13592
841.4,13893
842.8,13713
844.1,15113
845.4,15473
846.7,14561
848.1,12874
849.5,12789
850.8,13600
852.2,12794
853.5,12513
854.8,13472
856.2,14235
857.6,13691
859.0,12995
860.3,11673
861.6,11313
863.0,11713
864.3,11394
865.6,10920
867.0,10512
868.3,7873
869.7,6526
871.1,5400
872.4,7111
873.8,10675
875.2,7634
876.5,7913
877.8,6920
879.2,6554
880.5,6273
882.0,4233
883.4,7114
884.7,6713
886.1,8389
887.5,6763
888.8,6800
890.2,7352
891.6,4873
893.1,5760
894.4,6962
895.7,6194
897.1,7111
898.5,5031
899.8,3480
901.1,2912
902.5,1474
903.8,4523
905.2,4393
906.6,3707
908.0,3074
909.4,5393
910.7,5228
912.2,7352
913.6,9865
914.9,9433
916.3,8754
917.6,7840
919.0,10653
920.3,10510
921.6,8472
923.0,9753
924.3,14211
925.7,14559
927.0,14873
928.4,14313
929.8,15234
931.1,11753
932.5,11153
933.8,12749
935.2,11947
936.6,13073
937.9,10770
939.3,12353
940.6,10513
942.1,8950
943.4,10593
944.8,9160
946.2,8713
947.6,9074
948.9,6753
950.3,7313
951.7,6176
953.0,8190
954.3,6737
955.7,8760
957.1,6445
958.5,7374
959.8,8113
961.1,3753
962.5,3793
963.8,2954
965.2,1554
966.6,1074
967.9,193
969.3,2992
970.6,2788
972.1,-688
973.5,233
974.8,72
976.2,1153
977.5,954
978.9,393
980.2,2473
981.6,713
982.9,2193
984.3,5994
985.7,5073
987.1,10034
988.4,10240
989.8,10276
991.2,7953
992.5,7311
993.9,5281
995.2,7114
996.6,6315
998.0,1474
999.4,3439
1000.7,3074
1002.1,3093
1003.5,4793
1004.9,6874
1006.3,5314
1007.6,4333
1009.0,5472
1010.4,5193
1011.7,2526
1013.0,6554
1014.5,5102
1015.8,6663
1017.2,2883
1018.6,4154
1020.0,4681
1021.4,2914
1022.7,2102
1024.0,754
1025.5,-326
1026.8,-207
1028.1,-206
1029.5,524
1030.8,-2048
1032.3,-485
1033.7,1553
1035.1,-1247
1036.4,473
1037.8,1995
1039.2,2433
1040.5,2913
1041.9,2113
1043.3,4073
1044.6,3634
1046.0,2713
1047.4,4713
1048.7,4437
1050.1,6433
1051.4,3878
1052.8,4913
1054.2,7915
1055.5,6711
1056.8,6593
1058.2,3327
1059.6,3488
1061.0,4074
1062.4,4480
1063.7,4754
1065.1,5754
1066.4,6154
1067.8,4560
1069.2,6784
1070.5,6593
1071.9,9471
1073.3,8121
1074.6,9275
1076.0,9992
