42934,-42813060024698,39246,94957,31043.6,31260.9,7.5,0.040,83335940,-487968,LOCKED,0.999968956000,42952673588954
42935,-42813059990856,38636,94347,31146.8,31578.7,7.5,0.041,83335940,-483183,LOCKED,0.999968853000,42953673667803
42936,-42813059946578,47463,103174,31279.4,32002.4,7.5,0.043,83335940,-468824,LOCKED,0.999968721000,42954673750520
42937,-42813059910724,47601,103312,31418.2,32366.1,7.4,0.051,83335941,-461868,LOCKED,0.999968582000,42955673701102
42938,-42813059892017,31291,87002,31543.0,32191.1,7.4,0.052,83335940,-581084,LOCKED,0.999968457000,42956673797554
42939,-42813059940019,-46885,8826,31553.9,32013.4,7.4,0.054,83335940,-550056,LOCKED,0.999968446000,42957673877996
42940,-42813059896545,-32581,23130,31490.9,32314.5,7.6,0.061,83335941,-536306,LOCKED,0.999968509000,42958673946501
42941,-42813059860495,-25685,30026,31418.8,32434.6,8.3,0.072,83335942,-530684,LOCKED,0.999968581000,42959674026078
42942,-42813059824613,-19689,36022,31376.3,32538.6,8.4,0.076,83335941,-528691,LOCKED,0.999968624000,42960674107698
42943,-42813059778399,-5246,50465,31404.4,32417.7,8.5,0.080,83335941,-512696,LOCKED,0.999968596000,42961674191289
42944,-42813059733296,7429,63140,31442.4,32375.8,8.1,0.076,83335940,-492582,LOCKED,0.999968558000,42962674147846
42945,-42813059756412,-44776,10935,31401.3,32814.3,8.6,0.083,83335942,-552591,LOCKED,0.999968599000,42963674226441
42946,-42813059719170,-35198,20513,31276.2,32795.3,8.3,0.082,83335941,-543282,LOCKED,0.999968724000,42964674297161
42947,-42813059593275,54943,110654,31404.8,33540.2,8.3,0.083,83335941,-554247,LOCKED,0.999968595000,42965674360753
42948,-42813059579625,36179,91890,31394.1,33408.3,8.3,0.083,83335941,-569424,LOCKED,0.999968606000,42966674556351
42949,-42813059537210,43880,99591,31484.3,33920.1,8.3,0.083,83335941,-451565,LOCKED,0.999968516000,42967674513867
42950,-42813059597333,-43098,12613,31328.4,33855.1,8.7,0.085,83335942,-545128,LOCKED,0.999968672000,42968674588535
42951,-42813059562475,-38117,17594,31320.6,33942.5,8.7,0.084,83335941,-536496,LOCKED,0.999968679000,42969674672210
42952,-42813059522044,-28346,27365,31335.3,33793.1,8.8,0.086,83335941,-525505,LOCKED,0.999968665000,42970674753871
42953,-42813059474574,-9977,45734,31242.1,33307.6,8.8,0.084,83335941,-511197,LOCKED,0.999968758000,42971674826625
42954,-42813059468952,-32178,23533,31127.6,33290.4,8.8,0.084,83335940,-507148,LOCKED,0.999968872000,42972674913493
42955,-42813059397094,8571,64282,31112.4,33228.2,8.8,0.086,83335941,-492739,LOCKED,0.999968888000,42973674998377
42956,-42813059347788,25284,80995,31143.1,33388.4,8.9,0.087,83335941,-474103,LOCKED,0.999968857000,42974675084230
42957,-42813059310182,29299,85010,31214.6,33588.4,8.8,0.082,83335940,-464037,LOCKED,0.999968785000,42975675171011
