# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
36579,58.297,-36537006612154,0,0,12623.9,1356657.0,15.3,0.039,0,ACQUIRING
36580,59.297,-36537006666250,0,0,13136.2,1345018.1,15.2,0.026,0,ACQUIRING
36581,60.296,-36537006536818,0,0,13795.3,1334096.4,15.1,0.021,0,ACQUIRING
36582,61.298,-36537006580409,285882,0,14296.5,1323115.2,15.0,-0.002,0,ACQUIRING
36583,62.296,-36537006525542,-19467,0,31341.4,31106.8,14.9,-0.024,193865,ACQUIRING
36584,63.296,-36537006485868,-9359,10108,31269.7,30836.7,14.9,-0.005,-563600,ACQUIRING
36585,64.297,-36537006433206,13058,32525,31197.5,29996.6,14.7,0.028,-556372,ACQUIRING
36586,65.297,-36537006396196,17380,36847,31241.9,30070.1,14.4,0.050,-550021,ACQUIRING
36587,66.296,-36537006370865,11966,31433,31197.5,29685.6,14.3,0.060,-555275,LOCKED
36588,67.300,-36537006369678,-17943,1524,31222.4,29463.8,13.9,0.091,-568389,LOCKED
36589,68.297,-36537006284592,32017,51484,31361.0,29089.9,14.0,0.104,-525350,LOCKED
36590,69.297,-36537006344706,-54496,0,31207.8,29682.6,13.7,0.091,-619755,LOCKED
36591,70.298,-36537006240316,18500,72996,31186.1,29492.1,13.0,0.078,-540714,LOCKED
36592,71.298,-36537006250838,-21243,33253,31124.9,29574.7,12.4,0.058,-578585,LOCKED
36593,72.298,-36537006246999,-45939,8557,31074.1,30137.6,12.4,0.033,-599730,LOCKED
36594,73.298,-36537006115312,53058,107554,31065.2,29963.1,12.1,0.020,-510002,LOCKED
36595,74.298,-36537006103699,32357,86853,31072.6,30042.3,11.7,0.010,-524459,LOCKED
36596,75.298,-36537006084057,19070,73566,31132.1,30086.2,11.6,-0.006,-533928,LOCKED
36597,76.298,-36537006066182,6212,60708,31102.1,29931.2,11.5,-0.012,-546593,LOCKED
36598,77.300,-36537006037133,2932,57428,31157.6,29679.5,11.0,-0.016,-548778,LOCKED
36599,78.298,-36537006027487,-17800,36696,31148.9,29726.5,11.2,-0.027,-568260,LOCKED
36600,79.298,-36537005973602,4862,59358,31144.5,29716.9,10.7,-0.029,-544048,LOCKED
36601,80.298,-36537005967755,-19402,35094,31126.0,29809.2,10.5,-0.031,-569192,LOCKED
36602,81.297,-36537005959709,-39994,14502,31070.3,30279.3,10.7,-0.038,-588334,LOCKED
36603,82.299,-36537005939074,-47155,7341,30987.8,30948.9,10.7,-0.041,-595273,LOCKED
36604,83.298,-36537005805001,51529,106025,31118.4,31577.1,10.7,-0.043,-491665,LOCKED
36605,84.298,-36537005780571,40992,95488,31239.3,31838.2,10.9,-0.048,-496604,LOCKED
36606,85.298,-36537005768932,21064,75560,31220.4,31672.0,10.9,-0.051,-513269,LOCKED
36607,86.299,-36537005750467,7544,62040,31245.4,31675.4,10.9,-0.052,-528619,LOCKED
36608,87.301,-36537005747613,-17760,36736,31123.1,30973.3,10.8,-0.052,-554421,LOCKED
36609,88.299,-36537005743698,-42328,12168,31063.8,31480.9,11.0,-0.055,-578831,LOCKED
36610,89.299,-36537005701025,-28501,25995,31002.3,31705.3,11.0,-0.058,-563614,LOCKED
36611,90.299,-36537005597595,42757,97253,30988.5,31490.9,11.0,-0.061,-596888,LOCKED
36612,91.299,-36537005559165,46407,100903,31097.6,32043.4,11.1,-0.066,-484613,LOCKED
36613,92.299,-36537005551330,21141,75637,31160.9,32107.6,11.1,-0.075,-505799,LOCKED
36614,93.298,-36537005550256,-8899,45597,31173.4,32056.4,11.2,-0.080,-532983,LOCKED
36615,94.299,-36537005544402,-32650,21846,31150.7,32250.9,11.4,-0.085,-555817,LOCKED
36616,95.299,-36537005535968,-52674,1822,31106.1,32827.0,11.6,-0.097,-576027,LOCKED
36617,96.299,-36537005418078,30858,85354,31214.6,32824.3,11.8,-0.102,-488320,LOCKED
36618,97.300,-36537005404676,13074,67570,31191.4,32677.5,11.9,-0.101,-504846,LOCKED
36619,98.298,-36537005407573,-19795,34701,31164.4,32782.4,12.4,-0.107,-536512,LOCKED
36620,99.298,-36537005354909,2503,56999,31121.0,32574.2,12.3,-0.100,-516067,LOCKED
36621,100.299,-36537005349494,-22669,31827,31132.5,32477.5,12.8,-0.098,-537242,LOCKED
36622,101.299,-36537005339275,-40187,14309,31032.5,32853.3,12.9,-0.095,-557559,LOCKED
36623,102.299,-36537005212782,50279,104775,31194.3,33067.1,13.1,-0.084,-459668,LOCKED
36624,103.300,-36537005207111,22379,76875,31273.9,33059.1,12.9,-0.071,-484976,LOCKED
36625,104.299,-36537005186082,12195,66691,31250.6,32919.2,13.0,-0.065,-495758,LOCKED
36626,105.298,-36537005169264,-1760,52736,31230.0,32892.2,12.9,-0.058,-507349,LOCKED
36627,106.300,-36537005155586,-17425,37071,31166.3,32876.9,12.7,-0.040,-518946,LOCKED
36628,107.304,-36537005148540,-38453,16043,31078.3,33250.8,13.0,-0.027,-546155,LOCKED
36629,108.300,-36537005047053,30071,84567,31120.9,33491.4,12.6,-0.003,-581282,LOCKED
36630,109.300,-36537005013957,31699,86195,31085.1,33016.8,12.6,0.013,-465395,LOCKED
36631,110.300,-36537005017573,-2283,52213,31053.5,32949.3,12.4,0.032,-501021,LOCKED
36632,111.300,-36537005013903,-29235,25261,31081.0,32622.0,12.3,0.055,-528443,LOCKED
36633,112.300,-36537004932121,20610,75106,31088.8,32667.8,12.4,0.041,-563078,LOCKED
36634,113.300,-36537004950847,-28711,25785,31112.3,32397.8,12.2,0.045,-475811,LOCKED
36635,114.300,-36537004909128,-16773,37723,31074.8,32471.8,12.6,0.021,-512078,LOCKED
36636,115.299,-36537004904921,-39425,15071,30933.2,32427.9,12.6,0.001,-538066,LOCKED
36637,116.300,-36537004794840,35657,90153,31073.7,32226.0,12.6,-0.003,-560682,LOCKED
36638,117.301,-36537004773214,23649,78145,31160.2,32197.7,12.4,0.011,-451638,LOCKED
36639,118.300,-36537004755995,8305,62801,31215.4,32063.5,12.5,0.015,-464685,LOCKED
36640,119.299,-36537004780139,-41987,12509,31036.1,31522.3,12.3,0.039,-515117,LOCKED
36641,120.300,-36537004764700,-54921,0,30996.8,32091.1,11.7,0.021,-530808,LOCKED
36642,121.299,-36537004636070,41328,96249,30995.9,32079.3,11.4,0.010,-433498,LOCKED
36643,122.300,-36537004625359,20321,75242,30997.5,32090.0,11.2,0.000,-452595,LOCKED
36644,123.299,-36537004609729,5009,59930,30986.5,32060.3,10.7,0.012,-468019,LOCKED
