# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
63585,0.721,-129154260734986,0,0,-12493.1,140145.4,16.9,0.069,0,ACQUIRING
63586,1.726,-129154260605756,0,0,-757.4,139962.4,17.1,0.086,0,ACQUIRING
63587,2.721,-129154260612663,0,0,4881.7,134221.0,17.3,0.100,0,ACQUIRING
63588,3.722,-129154260642792,0,0,6366.2,126863.7,17.1,0.077,0,ACQUIRING
63589,4.720,-129154260555589,0,0,10331.8,123428.2,16.9,0.048,0,ACQUIRING
63590,5.722,-129154260491738,0,0,14492.9,122065.6,16.3,0.059,0,ACQUIRING
63591,6.722,-129154260493426,0,0,16646.2,118363.6,16.3,0.089,0,ACQUIRING
63592,7.722,-129154260503967,0,0,17366.1,113932.6,16.1,0.103,0,ACQUIRING
63593,8.721,-129154260384551,0,0,20098.9,113577.5,16.0,0.112,0,ACQUIRING
63594,9.720,-129154260394490,0,0,21385.4,110747.3,15.8,0.111,0,ACQUIRING
63595,10.721,-129154260346653,0,0,22752.3,108628.4,15.7,0.109,0,ACQUIRING
63596,11.721,-129154260295915,0,0,24172.5,107188.0,15.6,0.115,0,ACQUIRING
63597,12.722,-129154260257090,0,0,25416.6,105802.0,15.3,0.113,0,ACQUIRING
63598,13.722,-129154260236838,0,0,26270.5,103884.7,15.2,0.103,0,ACQUIRING
63599,14.721,-129154260281994,0,0,26064.8,101315.9,14.4,0.101,0,ACQUIRING
63600,15.722,-129154260210306,0,0,26404.2,99070.5,14.2,0.091,0,ACQUIRING
63601,16.722,-129154260146262,0,0,27041.9,97594.7,13.5,0.081,0,ACQUIRING
63602,17.722,-129154260151624,0,0,27239.2,95537.9,13.3,0.071,0,ACQUIRING
63603,18.723,-129154260084514,0,0,27735.2,94165.2,13.4,0.050,0,ACQUIRING
63604,19.722,-129154260140626,0,0,27463.3,92481.1,13.5,0.036,0,ACQUIRING
63605,20.722,-129154260033801,0,0,27832.1,91140.7,14.3,0.019,0,ACQUIRING
63606,21.723,-129154260023185,0,0,28011.0,89557.9,14.3,0.005,0,ACQUIRING
63607,22.722,-129154260009909,0,0,28061.3,87954.9,14.6,-0.005,0,ACQUIRING
63608,23.722,-129154259985047,0,0,28083.2,86427.4,15.0,-0.022,0,ACQUIRING
63609,24.721,-129154259949195,0,0,28145.3,84995.4,15.7,-0.033,0,ACQUIRING
63610,25.722,-129154259904517,0,0,28285.2,83730.0,15.7,-0.045,0,ACQUIRING
63611,26.723,-129154259857888,0,0,28494.3,82700.2,15.9,-0.054,0,ACQUIRING
63612,27.724,-129154259785626,0,0,28878.0,82506.1,16.5,-0.063,0,ACQUIRING
63613,28.722,-129154259826938,0,0,28885.0,81284.1,16.7,-0.068,0,ACQUIRING
63614,29.722,-129154259735675,0,0,29157.2,80761.8,17.2,-0.079,0,ACQUIRING
63615,30.722,-129154259746247,0,0,29227.7,79679.7,17.4,-0.079,0,ACQUIRING
