# elapsed_s,phase_ns
0.5,33824
1.9,27586
3.3,25584
4.7,25745
6.0,22304
7.4,20874
8.7,17828
10.1,15660
11.5,11265
12.9,9599
14.2,7599
15.6,9259
17.0,9504
18.4,12720
19.8,8801
21.2,3680
22.5,867
23.9,-3200
25.3,-4660
26.7,-9360
28.1,-4960
29.5,-2957
30.8,-1841
32.1,2305
33.5,2147
34.9,3747
36.3,3200
37.7,3599
39.0,4168
40.4,5040
41.8,4693
43.2,6318
44.5,5599
45.9,2482
47.3,-1456
48.7,-241
50.0,-1920
51.4,-5599
52.7,-5938
54.1,-8735
55.4,-9533
56.8,-8176
58.2,-8016
59.5,-4402
60.9,-8331
62.3,-9439
63.7,-8897
65.0,-8079
66.4,-6961
67.7,-8639
69.1,-3202
70.5,-1281
71.9,3827
73.3,5761
74.7,8959
76.0,10869
77.4,11669
78.8,12878
80.2,10524
81.6,9200
83.0,8392
84.4,7599
85.8,3292
87.2,943
88.5,-1621
89.9,-972
91.3,-2317
92.7,-3841
94.1,-416
95.5,-1374
96.9,-2326
98.3,-1356
99.7,-1360
101.1,1358
102.5,3360
103.9,2468
105.3,-2
106.6,1290
107.9,3582
109.3,2240
110.6,-126
112.0,-1012
113.3,-1600
114.7,2318
116.1,3604
117.4,-1278
118.8,-2402
120.2,958
121.5,2544
122.9,1587
124.4,101
125.8,307
127.1,-4496
128.5,-5150
130.0,4878
131.3,3759
132.6,-401
134.0,-15
135.4,1668
136.8,1918
138.2,5117
139.6,3352
141.0,3592
142.3,1279
143.6,3346
144.9,4562
146.3,6148
147.6,7920
149.0,4548
150.4,6721
151.8,6624
153.2,9437
154.6,9036
156.0,4552
157.4,1280
158.8,-639
160.2,2560
161.6,4079
163.0,2945
164.3,-967
165.7,-1441
167.1,-5199
168.4,-4318
169.8,-4471
171.2,-9789
172.6,-13299
174.0,-11354
175.4,-12475
176.8,-7358
178.2,-3600
179.5,429
180.9,4304
182.3,1743
183.7,1123
185.1,788
186.5,2624
187.8,1520
189.2,5759
190.6,3266
192.0,4983
193.4,5642
194.8,7279
196.2,11906
197.6,12946
199.0,14246
200.4,11506
201.7,11760
203.1,11443
204.5,13127
205.9,13584
207.2,16065
208.6,19605
210.0,16013
211.3,13666
212.7,14397
214.0,14483
215.4,17199
216.8,18160
218.1,12802
219.4,13104
220.8,15037
222.2,11760
223.6,8721
225.0,12390
226.4,14226
227.8,9425
229.2,9198
230.5,8080
231.9,11664
233.3,11120
234.7,13603
236.0,9108
237.4,5749
238.8,3983
240.2,5440
241.6,5873
242.9,9110
244.3,11681
245.7,13428
247.1,6318
248.4,6864
249.8,8719
251.2,11837
252.6,8959
254.0,3184
255.4,4612
256.8,1841
258.2,3749
259.5,6720
260.9,6561
262.3,5199
263.7,2945
265.1,467
266.4,2963
267.8,1422
269.2,3845
270.6,304
271.9,724
273.3,2399
274.9,2064
276.2,5810
277.6,7104
278.9,5512
280.3,3906
281.6,4162
283.0,5121
284.4,6145
285.8,8147
287.1,707
288.5,1279
289.9,1681
291.3,1103
292.7,479
294.1,1987
295.4,3600
296.8,2388
298.2,-3930
299.6,1745
300.9,5428
302.3,1825
303.7,228
305.1,546
306.4,78
307.8,83
309.2,869
310.6,-2097
312.0,-1448
313.4,-1107
314.8,551
316.2,1601
317.5,1
319.0,64
320.3,-3360
321.7,-2880
323.1,-2732
324.5,-243
326.0,625
327.3,-320
328.7,2480
330.1,240
331.4,78
332.8,303
334.2,-1053
335.6,-2656
336.9,-7123
338.3,-5523
339.7,-6959
341.1,-5937
342.4,-4482
343.8,-4002
345.1,-2563
346.5,-3773
347.8,-7836
349.2,-3041
350.5,-879
351.9,-5120
353.3,-6400
354.7,-8481
356.0,-10976
357.4,-14239
358.7,-15681
360.1,-12481
361.5,-9439
362.9,-6482
