# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
45513,0.618,-45531783455582,0,0,-365143.0,inf,7.6,-0.018,0,ACQUIRING
45514,1.618,-45531783434660,0,0,-172110.5,157610.4,7.7,-0.012,0,ACQUIRING
45515,2.618,-45531783487817,0,0,-117121.2,132137.1,8.5,-0.001,0,ACQUIRING
45516,3.619,-45531783447779,0,0,-74691.5,132819.7,8.7,0.004,0,ACQUIRING
45517,4.619,-45531783419501,0,0,-47858.8,132025.7,8.7,0.005,0,ACQUIRING
45518,5.620,-45531783388932,0,0,-29872.7,130245.7,8.7,0.012,0,ACQUIRING
45519,6.619,-45531783349417,0,0,-16596.2,128857.8,8.7,0.014,0,ACQUIRING
45520,7.619,-45531783256145,0,0,-3075.9,133746.9,9.3,0.022,0,ACQUIRING
45521,8.619,-45531783295894,0,0,1806.7,127702.1,9.5,0.026,0,ACQUIRING
45522,9.620,-45531783265063,0,0,5789.3,122790.1,9.6,0.029,0,ACQUIRING
45523,10.619,-45531783197813,0,0,10450.8,120853.0,9.7,0.032,0,ACQUIRING
45524,11.619,-45531783120987,0,0,15456.4,121646.0,10.2,0.038,0,ACQUIRING
45525,12.619,-45531783149104,0,0,17357.8,117638.3,10.2,0.036,0,ACQUIRING
45526,13.619,-45531783061422,0,0,20351.8,116665.8,10.1,0.032,0,ACQUIRING
45527,14.620,-45531783040636,0,0,22364.8,114446.1,10.3,0.030,0,ACQUIRING
45528,15.620,-45531783041587,0,0,23289.0,111089.6,10.3,0.031,0,ACQUIRING
45529,16.620,-45531783034128,0,0,23659.9,107665.2,10.3,0.031,0,ACQUIRING
45530,17.619,-45531782960392,0,0,24716.1,105460.2,10.2,0.026,0,ACQUIRING
45531,18.619,-45531782924773,0,0,25641.3,103410.5,10.3,0.025,0,ACQUIRING
45532,19.620,-45531782874919,0,0,26640.7,101917.9,10.8,0.025,0,ACQUIRING
45533,20.620,-45531782843670,0,0,27445.8,100295.8,10.9,0.025,0,ACQUIRING
45534,21.621,-45531782884855,0,0,27312.4,97909.3,10.9,0.019,0,ACQUIRING
45535,22.620,-45531782806957,0,0,27715.6,95983.3,11.2,0.013,0,ACQUIRING
45536,23.620,-45531782745071,0,0,28344.9,94783.1,11.2,0.013,0,ACQUIRING
45537,24.620,-45531782751872,0,0,28539.3,92886.6,11.6,0.016,0,ACQUIRING
45538,25.636,-45531782672959,0,0,29093.4,91926.3,11.6,0.009,0,ACQUIRING
45539,26.620,-45531782701008,0,0,29114.7,90142.7,11.7,0.012,0,ACQUIRING
45540,27.620,-45531782636235,0,0,29377.8,88722.0,12.1,0.018,0,ACQUIRING
45541,28.620,-45531782630269,0,0,29440.6,87140.3,12.1,0.020,0,ACQUIRING
45542,29.620,-45531782608342,0,0,29446.6,85624.8,12.4,0.029,0,ACQUIRING
45543,30.620,-45531782578125,0,0,29455.9,84186.1,12.5,0.014,0,ACQUIRING
45544,31.620,-45531782545446,0,0,29480.9,82820.9,12.6,0.002,0,ACQUIRING
45545,32.621,-45531782483788,0,0,29663.9,81740.4,12.8,-0.037,0,ACQUIRING
45546,33.620,-45531782433150,0,0,29917.2,80965.2,12.7,-0.058,0,ACQUIRING
45547,34.621,-45531782404692,0,0,30124.0,80112.0,13.2,-0.094,0,ACQUIRING
45548,35.621,-45531782430442,0,0,30060.6,78995.1,13.3,-0.115,0,ACQUIRING
45549,36.621,-45531782378063,0,0,30097.0,77903.2,13.4,-0.119,0,ACQUIRING
