# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
37165,0.356,-168283240710597,0,0,-59487.1,170679.6,13.3,0.050,0,ACQUIRING
37166,1.361,-168283240710571,0,0,-41627.6,153978.1,14.2,0.083,0,ACQUIRING
37167,2.357,-168283240646742,0,0,-23950.3,147932.2,14.4,0.104,0,ACQUIRING
37168,3.357,-168283240662904,0,0,-15935.7,138332.5,15.2,0.129,0,ACQUIRING
37169,4.357,-168283240553780,0,0,-3858.3,138994.6,15.5,0.144,0,ACQUIRING
37170,5.358,-168283240605156,0,0,-301.6,131348.5,15.7,0.157,0,ACQUIRING
37171,6.357,-168283240543269,0,0,4465.1,127155.9,16.0,0.169,0,ACQUIRING
37172,7.357,-168283240451587,0,0,10569.7,127781.3,15.8,0.173,0,ACQUIRING
37173,8.357,-168283240483183,0,0,12869.1,123144.2,15.8,0.177,0,ACQUIRING
37174,9.357,-168283240388117,0,0,16663.0,122443.0,15.8,0.175,0,ACQUIRING
37175,10.358,-168283240379873,0,0,18918.5,119640.5,15.8,0.181,0,ACQUIRING
37176,11.358,-168283240400551,0,0,19554.3,115487.0,15.8,0.187,0,ACQUIRING
37177,12.357,-168283240393099,0,0,19753.3,111595.2,15.9,0.193,0,ACQUIRING
37178,13.357,-168283240355643,0,0,20203.6,108203.0,16.2,0.200,0,ACQUIRING
37179,14.357,-168283240333577,0,0,20555.2,105084.1,15.8,0.200,0,ACQUIRING
37180,15.358,-168283240298513,0,0,21018.7,102356.3,15.9,0.205,0,ACQUIRING
37181,16.358,-168283240251483,0,0,21699.6,100221.8,16.1,0.211,0,ACQUIRING
37182,17.357,-168283240201237,0,0,22549.5,98769.3,16.1,0.210,0,ACQUIRING
37183,18.358,-168283240128593,0,0,23740.6,98840.4,16.0,0.208,0,ACQUIRING
37184,19.358,-168283240171943,0,0,23986.9,96688.2,16.0,0.210,0,ACQUIRING
37185,20.358,-168283240090676,0,0,24707.3,95744.8,16.0,0.212,0,ACQUIRING
37186,21.358,-168283240109790,0,0,24899.3,93824.7,16.0,0.214,0,ACQUIRING
37187,22.358,-168283240000176,0,0,25724.0,93927.1,16.1,0.216,0,ACQUIRING
37188,23.358,-168283239990663,0,0,26264.4,93063.5,16.1,0.218,0,ACQUIRING
37189,24.358,-168283239993256,0,0,26501.4,91531.7,16.1,0.220,0,ACQUIRING
37190,25.358,-168283239990761,0,0,26539.2,89888.3,16.1,0.216,0,ACQUIRING
37191,26.358,-168283239961515,0,0,26586.5,88335.4,16.0,0.213,0,ACQUIRING
37192,27.358,-168283239931689,0,0,26643.8,86867.9,16.0,0.208,0,ACQUIRING
37193,28.359,-168283239895633,0,0,26741.7,85511.2,16.0,0.203,0,ACQUIRING
37194,29.358,-168283239840767,0,0,26965.1,84487.3,16.0,0.205,0,ACQUIRING
37195,30.359,-168283239787911,0,0,27275.7,83884.1,16.0,0.207,0,ACQUIRING
37196,31.359,-168283239743843,0,0,27612.9,83527.5,15.9,0.218,0,ACQUIRING
37197,32.359,-168283239752997,0,0,27741.4,82466.5,15.9,0.221,0,ACQUIRING
37198,33.358,-168283239748080,0,0,27758.2,81315.7,16.0,0.226,0,ACQUIRING
37199,34.359,-168283239647251,0,0,28053.6,81100.2,16.0,0.232,0,ACQUIRING
37200,35.359,-168283239659207,0,0,28160.5,80152.8,16.0,0.228,0,ACQUIRING
37201,36.359,-168283239661949,0,0,28144.9,79121.5,16.0,0.224,0,ACQUIRING
37202,37.359,-168283239542683,0,0,28434.1,79219.4,16.0,0.216,0,ACQUIRING
37203,38.359,-168283239572638,0,0,28499.6,78307.9,16.0,0.224,0,ACQUIRING
37204,39.359,-168283239514174,0,0,28647.3,77703.0,16.1,0.223,0,ACQUIRING
37205,40.359,-168283239481318,0,0,28788.5,77121.6,16.7,0.158,0,ACQUIRING
37206,41.360,-168283239446196,0,0,28929.5,76592.1,16.8,0.121,0,ACQUIRING
37207,42.359,-168283239414375,0,0,29061.0,76064.7,16.8,0.088,0,ACQUIRING
37208,43.359,-168283239417699,0,0,29094.2,75255.7,16.7,0.025,0,ACQUIRING
37209,44.359,-168283239359449,0,0,29194.8,74672.7,16.4,-0.039,0,ACQUIRING
37210,45.359,-168283239397439,0,0,29125.8,74002.6,16.2,-0.090,0,ACQUIRING
37211,46.360,-168283239312781,0,0,29190.1,73347.8,15.8,-0.146,0,ACQUIRING
37212,47.359,-168283239337123,0,0,29130.9,72705.1,15.6,-0.191,0,ACQUIRING
37213,48.359,-168283239238081,0,0,29224.6,72240.6,15.5,-0.195,0,ACQUIRING
37214,49.360,-168283239245395,0,0,29234.5,71545.6,15.4,-0.198,0,ACQUIRING
