# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
21358,0.083,-146177635931584,51465,103089,-31137.1,32173.3,7.3,-0.141,386556243,LOCKED
21359,1.073,-146177636016012,-581,51043,-31197.4,31844.3,7.1,-0.142,386569549,LOCKED
21360,2.073,-146177636031386,13749,65373,-31146.8,31833.2,7.2,-0.145,386644544,LOCKED
21361,3.074,-146177636064913,11663,63287,-31180.7,31593.3,7.1,-0.146,386706634,LOCKED
21362,4.073,-146177636072255,32089,83713,-31066.4,31573.2,7.2,-0.148,386794112,LOCKED
21363,5.074,-146177636108617,25754,77378,-31058.2,31636.8,7.2,-0.148,386867364,LOCKED
21364,6.074,-146177636177167,-11964,39660,-31027.1,31420.8,7.2,-0.148,386934308,LOCKED
21365,7.074,-146177636247547,-46962,4662,-31163.0,31791.6,6.7,-0.144,386900970,LOCKED
21366,8.074,-146177636272694,-39378,12246,-31174.5,31928.1,7.1,-0.145,386967742,LOCKED
21367,9.074,-146177636283422,-17017,34607,-31240.3,31890.4,7.4,-0.145,387050228,LOCKED
21368,10.074,-146177636271933,22753,74377,-31132.7,31608.0,7.2,-0.140,387154867,LOCKED
21369,11.074,-146177636293329,30745,82369,-31098.1,31847.3,7.5,-0.138,387229341,LOCKED
21370,12.073,-146177636316003,37569,89193,-31082.0,32022.2,7.3,-0.135,387301627,LOCKED
21371,13.073,-146177636443834,-56121,0,-31138.9,32759.1,8.3,-0.138,387263452,LOCKED
21372,14.074,-146177636372119,45044,101165,-31131.0,32868.3,8.5,-0.134,387325320,LOCKED
21373,15.078,-146177636473887,-24475,31646,-31145.2,32961.2,8.8,-0.134,387423716,LOCKED
21374,16.074,-146177636483429,-1005,55116,-31235.3,32243.0,9.6,-0.135,387507652,LOCKED
21375,17.075,-146177636490760,21659,77780,-31210.4,32361.0,10.3,-0.135,387595209,LOCKED
