# elapsed_s,phase_ns
0.4,-103574
1.7,-103493
3.0,-103440
4.3,-103468
5.6,-103402
6.9,-103423
8.2,-103457
9.6,-103553
10.9,-103514
12.2,-103467
13.6,-103517
14.9,-103542
16.3,-103622
17.6,-103552
18.9,-103552
20.2,-103525
21.5,-103593
22.9,-103507
24.2,-103602
25.5,-103562
26.8,-103418
28.1,-103592
29.5,-103602
30.8,-103582
32.1,-103447
33.4,-103542
34.7,-103577
36.0,-103524
37.3,-103514
38.6,-103622
40.0,-103629
41.3,-103598
42.6,-103592
43.9,-103535
45.3,-103603
46.6,-103582
47.9,-103584
49.3,-103588
50.6,-103627
51.9,-103507
53.2,-103343
54.5,-103627
55.8,-103367
57.1,-103391
58.5,-103532
59.8,-20304
61.1,-103545
62.4,-103513
63.7,-103517
65.0,-103438
66.3,-103607
67.6,-103568
68.9,-103317
70.2,-103522
71.6,-103557
72.9,-103417
74.2,-103407
75.5,-103458
76.8,-103193
78.1,-103132
79.4,-103519
80.7,-103629
82.1,-103150
83.4,-103544
84.7,-103632
86.1,-103576
87.4,-103537
88.7,-103492
90.0,-103532
91.3,-103565
92.6,-103362
93.9,-103602
95.3,-103567
96.6,-103460
97.9,-103592
99.2,-103571
100.5,-103578
101.9,-103323
103.2,-103602
104.5,-103507
105.8,-103609
107.1,-103466
108.5,-103612
109.8,-103532
111.1,-103612
112.4,-103612
113.7,-103574
115.1,-103603
116.4,-103521
117.7,-103297
119.1,-103608
120.4,-103615
121.7,-103442
123.0,-103556
124.3,-103595
125.6,-103518
127.0,-103580
128.3,-103462
129.6,-103522
130.9,-103628
132.2,100430
133.5,97538
134.8,92439
136.4,90071
137.7,86117
139.0,83048
140.3,82319
141.6,81400
142.9,81530
144.3,75068
145.6,73022
146.9,71218
148.2,69356
149.5,65852
150.8,62866
152.2,60118
153.5,55824
154.8,54145
156.1,50308
157.5,48388
158.8,45460
160.1,43729
161.4,40939
162.8,39648
164.1,36877
165.4,37338
166.7,35690
168.0,35427
169.3,32138
170.7,30043
172.0,28368
173.3,27909
174.6,27367
175.9,27009
177.2,24391
178.6,22091
179.9,21059
181.2,16914
182.5,16305
183.8,12738
185.1,11918
186.4,11190
187.8,12600
189.1,10185
190.4,8927
191.7,7668
193.0,4728
194.3,1639
195.6,1699
196.9,-472
198.2,98
199.5,-71
200.8,1018
202.1,338
203.4,-246
204.7,129
206.1,4938
207.4,1885
208.7,2786
210.1,3499
211.4,4465
212.7,4338
214.0,428
