# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
52845,0.228,-52484286320059,38182,90926,-29448.0,30857.9,7.2,-0.044,26525,LOCKED
52846,1.228,-52484286419454,-30952,21792,-29436.4,30721.8,7.0,-0.038,-37075,LOCKED
52847,2.229,-52484286407532,9835,62579,-29424.7,30747.8,6.8,-0.045,-5623,LOCKED
52848,3.232,-52484286421014,25725,78469,-29465.0,30231.1,7.0,-0.046,16528,LOCKED
52849,4.229,-52484286443863,29542,82286,-29376.6,30364.1,7.1,-0.046,19176,LOCKED
52850,5.229,-52484286547318,-40333,12411,-29516.1,30390.9,7.2,-0.047,-61568,LOCKED
52851,6.229,-52484286568419,-30019,22725,-29559.4,30654.7,7.4,-0.047,-52969,LOCKED
52852,7.229,-52484286582049,-14204,38540,-29530.1,30426.9,7.5,-0.047,-33553,LOCKED
52853,8.229,-52484286610123,-11678,41066,-29563.2,30452.5,7.4,-0.055,-30619,LOCKED
52854,9.229,-52484286639197,-11290,41454,-29539.4,30303.6,7.6,-0.054,-30028,LOCKED
52855,10.230,-52484286654282,3271,56015,-29550.1,30280.1,8.0,-0.041,-11075,LOCKED
52856,11.229,-52484286685775,367,53111,-29503.5,30070.1,7.9,-0.028,-6487,LOCKED
52857,12.229,-52484286753546,-35379,17365,-29568.5,30450.6,8.0,-0.025,-2250,LOCKED
52858,13.229,-52484286824644,-73055,0,-29636.3,31682.5,7.8,-0.007,-99935,LOCKED
52859,14.229,-52484286848150,-62401,10654,-29754.7,32788.7,7.9,-0.000,-84056,LOCKED
52860,15.229,-52484286874917,-56369,16686,-29810.4,33504.6,8.2,-0.028,-49010,LOCKED
52861,16.230,-52484286852201,-2906,70149,-29851.6,33390.0,8.3,-0.033,-16467,LOCKED
52862,17.230,-52484286876720,1400,74455,-29803.5,33202.5,8.3,-0.037,1511,LOCKED
52863,18.229,-52484286923710,-13703,59352,-29883.1,32974.4,8.3,-0.041,-3143,LOCKED
52864,19.230,-52484286989543,-47219,25836,-29924.1,33435.5,8.5,-0.059,-15163,LOCKED
52865,20.231,-52484286956064,16088,89143,-29946.2,33279.3,8.5,-0.061,-6490,LOCKED
52866,21.230,-52484287070507,-62993,10062,-30107.5,34134.7,8.6,-0.063,-84516,LOCKED
52867,22.230,-52484287065565,-24950,48105,-30213.2,33965.8,8.7,-0.081,-50989,LOCKED
52868,23.229,-52484287067806,4466,77521,-30291.6,33307.8,8.9,-0.094,-16523,LOCKED
52869,24.230,-52484287073603,27045,100100,-30242.5,33509.4,9.0,-0.109,10637,LOCKED
52870,25.230,-52484287177583,-42418,30637,-30382.0,33624.3,9.1,-0.119,-31522,LOCKED
52871,26.230,-52484287143509,19693,92748,-30299.5,33525.1,9.1,-0.129,-2849,LOCKED
52872,27.230,-52484287154702,37487,110542,-30297.4,33548.7,9.1,-0.139,-86994,LOCKED
52873,28.230,-52484287253188,-29589,43466,-30302.8,33595.9,9.1,-0.147,-44983,LOCKED
52874,29.230,-52484287254838,618,73673,-30380.3,33040.3,9.1,-0.153,-16172,LOCKED
52875,30.231,-52484287256292,27424,100479,-30321.8,33239.6,9.1,-0.159,19239,LOCKED
52876,31.230,-52484287291742,22704,95759,-30379.7,32512.7,9.1,-0.164,-92674,LOCKED
52877,32.231,-52484287398796,-50291,22764,-30476.8,33215.1,9.3,-0.176,-57914,LOCKED
52878,33.230,-52484287405521,-22734,50321,-30626.0,32264.7,9.6,-0.186,-35494,LOCKED
52879,34.231,-52484287373139,38395,111450,-30597.6,32543.8,9.8,-0.195,36504,LOCKED
52880,35.232,-52484287474598,-30935,42120,-30621.4,32728.6,9.9,-0.198,-37067,LOCKED
52881,36.231,-52484287502412,-25520,47535,-30707.0,32758.4,9.8,-0.199,-37554,LOCKED
52882,37.231,-52484287513538,-6378,66677,-30674.8,32596.9,9.8,-0.201,-21508,LOCKED
52883,38.231,-52484287530552,8153,81208,-30731.3,32152.4,9.8,-0.198,-2388,LOCKED
52884,39.231,-52484287532803,33424,106479,-30629.1,32295.9,9.7,-0.199,26878,LOCKED
52885,40.231,-52484287573856,22507,95562,-30642.4,32182.2,9.9,-0.204,-93519,LOCKED
52886,41.232,-52484287605693,18886,91941,-30554.5,32004.3,9.9,-0.204,-88140,LOCKED
52887,42.232,-52484287617936,36465,109520,-30579.3,31647.8,9.8,-0.203,-63712,LOCKED
52888,43.231,-52484287740430,-51167,21888,-30704.6,32284.1,9.7,-0.203,-42930,LOCKED
52889,44.231,-52484287746088,-22121,50934,-30864.5,31038.3,9.9,-0.205,-24840,LOCKED
52890,45.231,-52484287741274,13478,86533,-30883.0,30920.3,10.2,-0.209,15218,LOCKED
52891,46.230,-52484287758983,23887,96942,-30786.8,30804.5,10.4,-0.209,28021,LOCKED
52892,47.231,-52484287772627,39145,112200,-30759.4,31096.3,10.4,-0.211,41145,LOCKED
52893,48.231,-52484287818576,21886,94941,-30694.1,31168.4,10.5,-0.210,-81722,LOCKED
52894,49.231,-52484287928333,-53095,19960,-30806.4,31957.1,10.5,-0.207,-53973,LOCKED
52895,50.232,-52484287961524,-53091,19964,-30835.4,32381.7,10.4,-0.203,-60397,LOCKED
52896,51.231,-52484287964570,-22714,50341,-30924.7,32300.9,10.1,-0.196,-32388,LOCKED
52897,52.231,-52484287979474,-7139,65916,-30890.9,32115.5,10.0,-0.191,-9452,LOCKED
52898,53.232,-52484287992290,9428,82483,-30832.5,31976.7,9.5,-0.181,8459,LOCKED
52899,54.231,-52484288018931,14190,87245,-30884.2,31480.5,9.4,-0.175,9650,LOCKED
52900,55.231,-52484288110918,-44821,28234,-30912.3,31824.5,9.2,-0.168,-52557,LOCKED
52901,56.233,-52484288140219,-38967,34088,-31056.0,31728.8,9.0,-0.160,-52521,LOCKED
52902,57.231,-52484288149533,-15893,57162,-31095.0,31790.4,8.9,-0.152,-29207,LOCKED
52903,58.231,-52484288171532,-7159,65896,-31065.3,31635.9,8.8,-0.158,-18100,LOCKED
52904,59.232,-52484288207593,-10923,62132,-31107.7,31619.4,8.2,-0.141,-24726,LOCKED
52905,60.232,-52484288215871,9757,82812,-31018.2,31147.3,8.2,-0.138,362,LOCKED
52906,61.231,-52484288233073,22837,95892,-31020.1,31132.6,7.9,-0.126,17382,LOCKED
52907,62.232,-52484288240735,42585,115640,-30913.5,31568.6,7.7,-0.113,33246,LOCKED
52908,63.232,-52484288268784,41214,114269,-30773.9,31633.8,7.6,-0.108,33792,LOCKED
52909,64.232,-52484288302638,33972,107027,-30625.9,31225.0,7.6,-0.103,-78304,LOCKED
52910,65.233,-52484288400897,-30885,42170,-30710.9,31414.2,7.7,-0.100,-39795,LOCKED
52911,66.232,-52484288433383,-30191,42864,-30782.0,31649.4,8.0,-0.064,-41487,LOCKED
52912,67.232,-52484288453425,-18353,54702,-30805.4,31740.1,8.0,-0.068,-32913,LOCKED
52913,68.232,-52484288489392,-22233,50822,-30831.4,31867.4,8.0,-0.054,-33435,LOCKED
52914,69.232,-52484288518655,-19618,53437,-30850.1,31955.7,7.9,-0.041,-27787,LOCKED
52915,70.232,-52484288538925,-9270,63785,-30823.3,31805.6,7.9,-0.042,-19286,LOCKED
52916,71.232,-52484288573011,-12562,60493,-30800.9,31665.3,7.8,-0.028,-6245,LOCKED
