# elapsed_s,phase_us,yellow_edge_px,pink_edge_px,file
30.0,-557.0,356,95,scope_0030s.bmp
60.4,-591.2,356,79,scope_0060s.bmp
90.7,-591.2,356,79,scope_0090s.bmp
121.0,-578.4,356,85,scope_0121s.bmp
151.3,-565.5,356,91,scope_0151s.bmp
181.7,-582.6,356,83,scope_0181s.bmp
212.0,-565.5,356,91,scope_0211s.bmp
242.3,-576.2,356,86,scope_0242s.bmp
272.6,-586.9,356,81,scope_0272s.bmp
302.9,-574.1,356,87,scope_0302s.bmp
333.2,-572.0,356,88,scope_0333s.bmp
363.5,-593.3,356,78,scope_0363s.bmp
393.8,-580.5,356,84,scope_0393s.bmp
424.1,-557.0,356,95,scope_0424s.bmp
454.5,-569.8,356,89,scope_0454s.bmp
484.8,-576.2,356,86,scope_0484s.bmp
515.1,-580.5,356,84,scope_0515s.bmp
545.4,-490.9,356,126,scope_0545s.bmp
575.8,-582.6,356,83,scope_0575s.bmp
