# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
3005,0.880,-131301878303549,-38509,17998,-29438.2,34723.4,9.7,0.118,168865393,LOCKED
3006,1.881,-131301878251479,41159,97666,-29416.3,34954.2,9.6,0.124,169010834,LOCKED
3007,2.882,-131301878265815,51501,108008,-29269.1,35373.8,10.0,0.137,169085926,LOCKED
3008,3.880,-131301878381952,-32610,23897,-29350.4,35601.1,9.9,0.141,169061131,LOCKED
3009,4.881,-131301878387751,-9402,47105,-29317.8,35420.7,9.9,0.145,169143813,LOCKED
3010,5.880,-131301878415517,-6443,50064,-29376.3,35242.8,9.8,0.149,169209841,LOCKED
3011,6.880,-131301878420863,15262,71769,-29287.4,34974.4,9.2,0.149,169295544,LOCKED
3012,7.880,-131301878449663,15806,72313,-29316.5,34762.5,9.3,0.153,169368770,LOCKED
3013,8.880,-131301878523790,-28026,28481,-29317.9,34774.1,9.3,0.156,169429788,LOCKED
3014,9.880,-131301878473980,49067,105574,-29299.6,35015.7,9.4,0.160,169519315,LOCKED
3015,10.880,-131301878612274,-54597,1910,-29470.8,35312.2,9.3,0.161,169471100,LOCKED
3016,11.882,-131301878627667,-38354,18153,-29513.3,35643.0,9.4,0.164,169546136,LOCKED
3017,12.881,-131301878639216,-17260,39247,-29638.5,34955.9,9.6,0.159,169629788,LOCKED
3018,13.880,-131301878604945,43808,100315,-29571.8,35449.9,9.7,0.163,169753763,LOCKED
3019,14.882,-131301878726888,-46292,10215,-29606.3,35821.0,9.6,0.159,169720124,LOCKED
3020,15.881,-131301878669485,38255,94762,-29549.0,36187.8,9.6,0.159,169766606,LOCKED
3021,16.881,-131301878681619,52265,108772,-29468.6,36866.9,9.6,0.159,169949088,LOCKED
3022,17.881,-131301878802381,-34892,21615,-29613.9,36595.2,9.6,0.158,169920969,LOCKED
3023,18.881,-131301878809739,-13305,43202,-29558.8,36132.6,9.6,0.161,170006546,LOCKED
3024,19.881,-131301878814273,10756,67263,-29529.4,36152.8,9.5,0.157,170096538,LOCKED
3025,20.881,-131301878828849,25338,81845,-29553.3,35928.0,9.5,0.155,170176029,LOCKED
3026,21.880,-131301878829820,49160,105667,-29401.2,36184.6,9.5,0.153,170265517,LOCKED
3027,22.881,-131301878878346,28389,84896,-29367.6,36367.9,9.4,0.148,170200699,LOCKED
3028,23.882,-131301878992627,-54537,1970,-29374.3,36470.9,9.2,0.137,170284223,LOCKED
3029,24.881,-131301878919407,44465,100972,-29271.8,36918.4,8.8,0.127,170345904,LOCKED
3030,25.881,-131301879040809,-42949,13558,-29432.2,36791.2,8.7,0.121,170419471,LOCKED
3031,26.882,-131301879061335,-31776,24731,-29490.7,37042.7,8.9,0.121,170492873,LOCKED
3032,27.882,-131301879078907,-20224,36283,-29438.9,36525.3,8.9,0.122,170568852,LOCKED
3033,28.882,-131301879096430,-7333,49174,-29474.7,36495.9,8.9,0.124,170639430,LOCKED
3034,29.882,-131301879106588,9721,66228,-29379.6,36016.4,9.0,0.118,170722418,LOCKED
3035,30.881,-131301879125185,19658,76165,-29370.8,36060.7,9.2,0.112,170792682,LOCKED
3036,31.882,-131301879138491,31585,88092,-29219.9,35554.3,9.4,0.115,170871616,LOCKED
3037,32.882,-131301879158441,37823,94330,-29133.9,35890.9,9.4,0.117,170942983,LOCKED
3038,33.881,-131301879248997,-20972,35535,-29228.1,35727.6,9.3,0.120,170945260,LOCKED
3039,34.881,-131301879285174,-26898,29609,-29233.6,35768.4,9.3,0.137,170997502,LOCKED
3040,35.882,-131301879299514,-10104,46403,-29310.2,35503.0,9.2,0.130,171076231,LOCKED
3041,36.882,-131301879328693,-10359,46148,-29273.9,35280.1,9.2,0.135,171141658,LOCKED
3042,37.882,-131301879334263,13566,70073,-29307.4,35048.6,9.2,0.141,171228843,LOCKED
3043,38.881,-131301879352205,24141,80648,-29308.8,35038.6,9.3,0.124,171298513,LOCKED
3044,39.882,-131301879374947,30241,86748,-29336.2,34723.4,9.5,0.111,171264243,LOCKED
3045,40.882,-131301879414521,16961,73468,-29214.9,34069.1,9.5,0.086,171433201,LOCKED
3046,41.881,-131301879427269,31277,87784,-29161.3,34332.7,9.6,0.077,171502537,LOCKED
3047,42.882,-131301879551627,-58429,0,-29333.9,34816.3,9.9,0.055,171469224,LOCKED
3048,43.882,-131301879533961,-11831,46598,-29294.4,34540.0,10.0,0.017,171579348,LOCKED
3049,44.882,-131301879563178,-9984,48445,-29364.8,34323.0,9.9,-0.009,171639405,LOCKED
3050,45.882,-131301879581717,-399,58030,-29303.1,33981.1,10.0,-0.033,171715080,LOCKED
3051,46.882,-131301879583862,25840,84269,-29301.0,33997.6,10.0,-0.043,171799342,LOCKED
3052,47.882,-131301879615472,20609,79038,-29191.7,33638.1,10.1,-0.055,171875380,LOCKED
3053,48.882,-131301879681409,-14520,43909,-29246.9,33616.8,10.4,-0.080,171818673,LOCKED
3054,49.882,-131301879759718,-60403,0,-29302.6,34383.8,10.4,-0.090,171899370,LOCKED
3055,50.882,-131301879778153,-45022,15381,-29449.5,34523.9,11.2,-0.116,171973272,LOCKED
3056,51.883,-131301879794104,-29882,30521,-29480.4,34721.8,11.4,-0.132,172049030,LOCKED
3057,52.883,-131301879795647,-3136,57267,-29416.6,34306.3,11.4,-0.136,172136830,LOCKED
3058,53.883,-131301879867220,-43064,17339,-29454.4,34678.6,11.5,-0.147,172157128,LOCKED
3059,54.883,-131301879871776,-15382,45021,-29565.6,34123.0,11.7,-0.158,172244882,LOCKED
3060,55.884,-131301879871930,13003,73406,-29536.8,34165.5,11.8,-0.168,172338183,LOCKED
3061,56.884,-131301879882275,31882,92285,-29574.6,33665.6,11.8,-0.170,172417662,LOCKED
3062,57.883,-131301879908846,31938,92341,-29482.9,33830.9,11.8,-0.172,172378379,LOCKED
3063,58.884,-131301880003952,-30391,30012,-29594.2,33783.7,12.0,-0.179,172480420,LOCKED
3064,59.883,-131301880005141,-2660,57743,-29556.6,33626.7,11.6,-0.179,172571582,LOCKED
3065,60.884,-131301880027700,5553,65956,-29625.6,33077.7,11.1,-0.178,172645900,LOCKED
3066,61.885,-131301880025434,33881,94284,-29506.9,33078.0,11.1,-0.182,172738049,LOCKED
3067,62.884,-131301880064782,20723,81126,-29378.3,32420.1,10.8,-0.183,172681127,LOCKED
3068,63.885,-131301880133106,-16045,44358,-29458.6,32240.9,10.8,-0.186,172809754,LOCKED
3069,64.884,-131301880157515,-9989,50414,-29491.5,32247.5,10.7,-0.188,172876942,LOCKED
3070,65.884,-131301880162429,13906,74309,-29481.1,32284.5,10.7,-0.189,172964718,LOCKED
3071,66.885,-131301880183999,19862,80265,-29418.1,32323.3,10.7,-0.188,173034031,LOCKED
3072,67.889,-131301880206730,24205,84608,-29343.1,32392.4,10.7,-0.188,172997107,LOCKED
3073,68.884,-131301880327494,-62042,0,-29494.2,33309.7,10.6,-0.187,173071269,LOCKED
3074,69.885,-131301880337860,-41834,20208,-29477.6,33064.3,10.5,-0.186,173155335,LOCKED
3075,70.884,-131301880372978,-42539,19503,-29649.3,32710.4,10.5,-0.184,173210220,LOCKED
3076,71.885,-131301880388167,-24702,37340,-29774.2,32268.9,10.4,-0.181,173288047,LOCKED
3077,72.884,-131301880396313,-1793,60249,-29834.2,31968.0,10.4,-0.181,173373081,LOCKED
3078,73.884,-131301880379863,40620,102662,-29711.5,32194.5,10.3,-0.174,173485197,LOCKED
3079,74.884,-131301880421396,28905,90947,-29765.0,31414.3,10.5,-0.174,173425894,LOCKED
3080,75.887,-131301880533387,-50677,11365,-29810.6,31984.1,10.4,-0.168,173510667,LOCKED
3081,76.884,-131301880562565,-48199,13843,-29821.0,32138.3,10.3,-0.162,173573862,LOCKED
3082,77.885,-131301880569711,-22282,39760,-29943.2,31630.8,10.0,-0.153,173661127,LOCKED
3083,78.885,-131301880581226,-2638,59404,-29998.6,31387.4,10.2,-0.145,173740194,LOCKED
3084,79.886,-131301880595985,11969,74011,-29987.5,31420.3,10.2,-0.142,173817455,LOCKED
3085,80.886,-131301880615353,20791,82833,-29933.7,31518.5,10.0,-0.130,173890112,LOCKED
3086,81.886,-131301880633338,29270,91312,-29811.9,31294.8,9.7,-0.118,173964062,LOCKED
3087,82.884,-131301880643076,45289,107331,-29688.0,31706.9,9.8,-0.112,174046570,LOCKED
3088,83.884,-131301880729812,-9132,52910,-29801.9,30811.4,9.9,-0.113,174053876,LOCKED
3089,84.885,-131301880766588,-16491,45551,-29755.5,30336.9,10.2,-0.104,174110624,LOCKED
3090,85.885,-131301880775953,5189,67231,-29827.6,29686.9,10.1,-0.096,174192330,LOCKED
3091,86.885,-131301880788289,22540,84582,-29858.2,29345.3,10.1,-0.098,174270066,LOCKED
3092,87.885,-131301880784251,53756,115798,-29816.1,29969.2,10.1,-0.086,174367363,LOCKED
3093,88.885,-131301880916572,-44993,17049,-29925.8,30492.4,10.1,-0.072,174325682,LOCKED
3094,89.885,-131301880921946,-19091,42951,-29960.4,30602.3,10.2,-0.069,174414841,LOCKED
3095,90.886,-131301880945788,-12463,49579,-29964.7,30618.9,10.2,-0.073,174496445,LOCKED
3096,91.889,-131301880930330,29919,91961,-29865.0,30670.2,10.2,-0.076,174589689,LOCKED
3097,92.887,-131301880940067,45467,107509,-29715.5,30815.8,10.1,-0.064,174672273,LOCKED
3098,93.886,-131301881005399,9766,71808,-29727.7,30761.0,9.9,-0.051,174698070,LOCKED
3099,94.885,-131301881082352,-34225,27817,-29829.6,30939.8,9.9,-0.053,174770422,LOCKED
3100,95.886,-131301881033150,42270,104312,-29775.4,31430.1,10.0,-0.052,174857543,LOCKED
3101,96.886,-131301881144322,-36248,25794,-29856.5,31784.1,9.8,-0.033,174836871,LOCKED
3102,97.885,-131301881138682,-1112,60930,-29837.0,31740.7,9.6,0.005,174935400,LOCKED
3103,98.886,-131301881148445,16896,78938,-29763.5,31642.2,9.5,-0.021,175015522,LOCKED
3104,99.887,-131301881152204,38966,101008,-29635.0,31740.7,9.3,-0.041,175107155,LOCKED
3105,100.885,-131301881183746,33710,95752,-29526.4,31839.9,8.9,-0.047,175166858,LOCKED
3106,101.888,-131301881202680,39817,101859,-29372.2,31627.5,8.6,-0.041,175237774,LOCKED
3107,102.885,-131301881326875,-50026,12016,-29533.8,31839.9,8.6,-0.034,175207557,LOCKED
3108,103.888,-131301881284152,20772,82814,-29496.6,31964.5,8.6,-0.036,175343857,LOCKED
3109,104.888,-131301881299540,32564,94606,-29437.0,32268.4,8.1,-0.039,175420936,LOCKED
3110,105.886,-131301881321742,36758,98800,-29348.7,32599.9,8.0,-0.040,175378969,LOCKED
3111,106.886,-131301881428076,-39047,22995,-29341.7,32506.4,7.9,-0.041,175469939,LOCKED
3112,107.887,-131301881442422,-23901,38141,-29309.2,32156.7,8.0,-0.048,175548209,LOCKED
3113,108.886,-131301881451783,-3958,58084,-29302.4,32143.4,8.2,-0.055,175632541,LOCKED
3114,109.885,-131301881475941,2467,64509,-29369.5,31665.7,8.2,-0.060,175697610,LOCKED
3115,110.886,-131301881491694,16122,78164,-29398.3,31432.2,8.5,-0.072,175776915,LOCKED
3116,111.886,-131301881511259,24961,87003,-29390.9,31488.2,9.0,-0.083,175845745,LOCKED
3117,112.886,-131301881531229,31929,93971,-29323.5,31773.0,9.0,-0.086,175921569,LOCKED
3118,113.885,-131301881646933,-49772,12270,-29470.7,32151.2,9.4,-0.095,175891592,LOCKED
3119,114.885,-131301881668497,-38697,23345,-29562.0,32527.0,9.8,-0.103,175963432,LOCKED
3120,115.886,-131301881673655,-13821,48221,-29562.2,32527.9,9.9,-0.106,176050863,LOCKED
3121,116.886,-131301881689818,-1507,60535,-29506.3,32210.9,9.9,-0.107,176124320,LOCKED
3122,117.886,-131301881704796,10888,72930,-29419.5,31816.1,10.1,-0.110,176199663,LOCKED
3123,118.886,-131301881712317,31455,93497,-29406.5,31935.4,10.1,-0.109,176282955,LOCKED
3124,119.887,-131301881747893,23520,85562,-29358.9,32090.9,10.1,-0.109,176236651,LOCKED
3125,120.887,-131301881767462,30759,92801,-29284.7,32323.6,10.0,-0.108,176417045,LOCKED
3126,121.888,-131301881896388,-65903,0,-29321.4,32978.5,10.0,-0.109,176378590,LOCKED
3127,122.888,-131301881911145,-49192,16711,-29344.9,33296.3,10.4,-0.114,176456995,LOCKED
3128,123.887,-131301881903896,-11695,54208,-29369.8,33332.4,10.4,-0.115,176547376,LOCKED
3129,124.888,-131301881918702,2620,68523,-29362.0,33333.4,10.4,-0.116,176628698,LOCKED
3130,125.887,-131301881933412,15264,81167,-29288.7,33202.8,10.7,-0.119,176706746,LOCKED
3131,126.886,-131301881959136,16383,82286,-29195.7,32903.0,10.9,-0.117,176663099,LOCKED
3132,127.887,-131301881985366,16549,82452,-29085.6,32376.3,11.2,-0.119,176734316,LOCKED
3133,128.888,-131301882085844,-49890,16013,-29246.1,32590.9,11.9,-0.121,176827827,LOCKED
3134,129.886,-131301882123061,-53184,12719,-29387.4,33173.1,11.9,-0.121,176893201,LOCKED
3135,130.888,-131301882135205,-32372,33531,-29508.9,33084.7,12.1,-0.121,176961030,LOCKED
3136,131.890,-131301882166389,-30954,34949,-29609.4,33157.9,12.3,-0.121,177037106,LOCKED
3137,132.889,-131301882176922,-10844,55059,-29642.2,33173.6,12.1,-0.106,177104371,LOCKED
3138,133.887,-131301882158657,33409,99312,-29518.2,33096.5,11.8,-0.089,177214505,LOCKED
3139,134.888,-131301882282643,-58059,7844,-29568.9,33792.3,12.0,-0.085,177182557,LOCKED
3140,135.888,-131301882284220,-26333,39570,-29708.7,33199.1,12.5,-0.080,177272333,LOCKED
3141,136.889,-131301882284965,4376,70279,-29801.8,32273.7,12.6,-0.074,177366779,LOCKED
3142,137.889,-131301882289332,29162,95065,-29818.5,32088.7,12.6,-0.057,177452628,LOCKED
3143,138.888,-131301882311658,35005,100908,-29795.7,32300.8,12.7,-0.059,177520551,LOCKED
3144,139.889,-131301882328596,44992,110895,-29729.6,32858.7,12.6,-0.037,177598395,LOCKED
3145,140.888,-131301882373758,27498,93401,-29674.0,33065.3,13.0,-0.021,177538134,LOCKED
3146,141.890,-131301882477914,-44500,21403,-29722.0,33532.2,13.2,-0.045,177633801,LOCKED
3147,142.889,-131301882491052,-27326,38577,-29705.5,33365.9,13.4,-0.064,177710832,LOCKED
3148,143.889,-131301882483931,9506,75409,-29721.6,33294.1,13.4,-0.063,177811070,LOCKED
3149,144.889,-131301882502978,19760,85663,-29733.8,33204.3,13.4,-0.075,177883078,LOCKED
3150,145.888,-131301882516308,34062,99965,-29687.3,33509.4,13.1,-0.043,177961429,LOCKED
3151,146.890,-131301882550199,27566,93469,-29620.5,33687.5,12.8,-0.024,177913427,LOCKED
3152,147.890,-131301882666567,-56864,9039,-29639.7,33994.3,13.0,-0.029,177993858,LOCKED
3153,148.888,-131301882686316,-42065,23838,-29810.9,33633.6,12.9,-0.019,178066218,LOCKED
3154,149.888,-131301882694907,-18272,47631,-29907.0,33358.0,12.8,-0.005,178151650,LOCKED
3155,150.889,-131301882708033,-272,65631,-29966.5,33043.2,12.7,-0.018,178229265,LOCKED
