# elapsed_s,phase_us,yellow_edge_px,pink_edge_px,file
30.0,386.3,344,706,scope_0030s.bmp
60.4,400.2,344,719,scope_0060s.bmp
90.7,389.5,344,709,scope_0090s.bmp
121.0,390.5,344,710,scope_0121s.bmp
151.3,400.2,344,719,scope_0151s.bmp
181.6,387.3,344,707,scope_0181s.bmp
212.0,393.8,344,713,scope_0211s.bmp
242.3,408.7,344,727,scope_0242s.bmp
272.6,395.9,344,715,scope_0272s.bmp
302.9,384.1,344,704,scope_0302s.bmp
333.2,395.9,344,715,scope_0333s.bmp
363.5,395.9,344,715,scope_0363s.bmp
393.8,400.2,344,719,scope_0393s.bmp
424.2,397.0,344,716,scope_0424s.bmp
454.5,410.8,344,729,scope_0454s.bmp
484.8,386.3,344,706,scope_0484s.bmp
515.1,385.2,344,705,scope_0515s.bmp
545.4,399.1,344,718,scope_0545s.bmp
575.8,398.0,344,717,scope_0575s.bmp
