# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
62316,0.950,-62284000423891,0,0,-49421.0,inf,9.6,-0.015,0,ACQUIRING
62317,1.951,-62284000309217,0,0,32626.5,66991.5,9.6,-0.016,0,ACQUIRING
62318,2.955,-62284000364158,0,0,14561.0,52800.3,9.7,-0.009,0,ACQUIRING
62319,3.951,-62284000334024,0,0,14062.5,43120.8,9.8,-0.002,0,ACQUIRING
62320,4.952,-62284000279928,0,0,19639.1,39698.4,10.2,0.011,0,ACQUIRING
62321,5.951,-62284000268301,0,0,20772.4,35675.7,10.2,0.009,0,ACQUIRING
62322,6.952,-62284000235869,0,0,22216.2,33012.4,10.2,0.013,0,ACQUIRING
62323,7.951,-62284000200368,0,0,23775.6,31349.1,10.4,0.006,0,ACQUIRING
62324,8.952,-62284000156308,0,0,25675.9,30971.4,10.4,0.004,0,ACQUIRING
62325,9.953,-62284000108035,0,0,27739.6,31761.6,10.5,-0.003,0,ACQUIRING
62326,10.953,-62284000045572,0,0,30265.7,34815.1,10.5,-0.005,0,ACQUIRING
62327,11.951,-62283999971110,0,0,33249.5,40521.8,10.7,-0.011,0,ACQUIRING
62328,12.955,-62283999978632,0,0,33960.1,39287.1,10.6,-0.010,0,ACQUIRING
62329,13.952,-62283999998770,0,0,33069.5,38713.9,10.6,-0.017,0,ACQUIRING
62330,14.952,-62283999949502,0,0,32831.0,37392.0,10.8,-0.023,0,ACQUIRING
62331,15.952,-62283999898083,0,0,33031.7,36199.9,11.3,-0.031,0,ACQUIRING
62332,16.952,-62283999825204,0,0,33871.7,36639.7,11.4,-0.035,0,ACQUIRING
62333,17.953,-62283999813322,0,0,34125.7,35717.8,11.5,-0.039,0,ACQUIRING
62334,18.952,-62283999790840,0,0,34144.4,34712.6,11.6,-0.043,0,ACQUIRING
62335,19.952,-62283999760746,0,0,34105.7,33792.5,11.6,-0.049,0,ACQUIRING
62336,20.954,-62283999720096,0,0,34154.2,32947.4,11.5,-0.056,0,ACQUIRING
62337,21.953,-62283999661002,0,0,34462.2,32647.1,12.0,-0.062,0,ACQUIRING
62338,22.954,-62283999711747,0,0,33847.3,34093.0,12.0,-0.060,0,ACQUIRING
62339,23.952,-62283999639065,0,0,33727.1,33437.4,12.4,-0.065,0,ACQUIRING
62340,24.952,-62283999637589,0,0,33356.9,33738.4,12.6,-0.073,0,ACQUIRING
62341,25.952,-62283999560393,0,0,33411.1,33080.9,12.6,-0.070,0,ACQUIRING
62342,26.955,-62283999578500,0,0,33073.7,33489.7,13.0,-0.073,0,ACQUIRING
62343,27.954,-62283999536273,0,0,32864.6,33310.6,13.6,-0.070,0,ACQUIRING
62344,28.954,-62283999478178,0,0,32857.5,32711.0,13.9,-0.071,0,ACQUIRING
62345,29.954,-62283999474692,0,0,32673.9,32572.3,14.1,-0.079,0,ACQUIRING
62346,30.953,-62283999359842,0,0,32989.6,33410.0,14.3,-0.087,0,ACQUIRING
62347,31.954,-62283999333744,0,0,33214.5,33624.9,15.0,-0.087,0,ACQUIRING
62348,32.955,-62283999286725,0,0,33471.5,34166.7,15.5,-0.077,0,ACQUIRING
62349,33.953,-62283999364818,0,0,33155.7,35365.3,15.6,-0.084,0,ACQUIRING
62350,34.954,-62283999294266,0,0,33058.1,35017.9,16.1,-0.090,0,ACQUIRING
62351,35.954,-62283999246078,0,0,33040.0,34520.6,16.4,-0.106,0,ACQUIRING
62352,36.954,-62283999180780,0,0,33155.3,34333.8,16.9,-0.100,0,ACQUIRING
62353,37.955,-62283999224105,0,0,32959.5,34785.6,17.3,-0.081,0,ACQUIRING
62354,38.954,-62283999179507,0,0,32834.3,34728.4,17.1,-0.048,0,ACQUIRING
62355,39.953,-62283999139182,0,0,32752.6,34465.9,17.4,-0.081,0,ACQUIRING
62356,40.954,-62283999038151,0,0,32908.9,34762.6,17.5,-0.096,0,ACQUIRING
62357,41.955,-62283999044857,0,0,32918.8,34339.2,17.8,-0.121,0,ACQUIRING
62358,42.956,-62283999035806,0,0,32855.0,34069.4,17.9,-0.127,0,ACQUIRING
62359,43.953,-62283999018144,0,0,32755.3,34042.1,17.9,-0.130,0,ACQUIRING
62360,44.953,-62283998957044,0,0,32746.8,33655.9,18.0,-0.146,0,ACQUIRING
62361,45.954,-62283998934137,0,0,32713.1,33329.0,17.8,-0.129,0,ACQUIRING
62362,46.954,-62283998892707,0,0,32705.7,32967.3,17.6,-0.107,0,ACQUIRING
62363,47.955,-62283998848032,0,0,32728.4,32640.6,17.6,-0.097,0,ACQUIRING
62364,48.955,-62283998791390,0,0,32804.8,32611.1,17.8,-0.129,0,ACQUIRING
62365,49.955,-62283998842515,0,0,32682.7,33116.5,17.6,-0.134,0,ACQUIRING
62366,50.955,-62283998774830,0,0,32650.4,32846.0,17.6,-0.148,0,ACQUIRING
62367,51.955,-62283998684763,0,0,32741.9,33050.7,17.5,-0.160,0,ACQUIRING
62368,52.956,-62283998701685,0,0,32723.3,32754.4,17.4,-0.171,0,ACQUIRING
62369,53.954,-62283998623263,0,0,32795.7,32814.9,17.4,-0.188,0,ACQUIRING
62370,54.955,-62283998584970,0,0,32871.0,32931.5,17.3,-0.186,0,ACQUIRING
62371,55.956,-62283998574276,0,0,32898.3,32689.6,17.0,-0.200,0,ACQUIRING
62372,56.955,-62283998574044,0,0,32865.6,32485.5,16.5,-0.197,0,ACQUIRING
62373,57.956,-62283998532160,0,0,32851.5,32217.1,16.3,-0.201,0,ACQUIRING
62374,58.958,-62283998499921,-7871,0,32837.7,31956.0,15.7,-0.197,0,ACQUIRING
62375,59.956,-62283998461999,-4439,3432,32926.3,31076.8,15.5,-0.199,68074,ACQUIRING
62376,60.955,-62283998506876,-76105,0,32751.4,32592.0,14.9,-0.199,-700794,ACQUIRING
62377,61.957,-62283998480230,-78661,0,32707.9,33508.1,14.7,-0.199,-644385,ACQUIRING
62378,62.959,-62283998503216,-124524,0,32432.0,37267.6,14.0,-0.197,-755364,ACQUIRING
62379,63.956,-62283998619430,-254012,0,31913.3,50462.0,13.3,-0.190,-731055,LOCKED
62380,64.955,-62283998586135,-235148,18864,31445.6,59562.0,11.8,-0.184,-665352,LOCKED
62381,65.956,-62283998652751,-309474,0,30794.2,72407.3,11.4,-0.181,-701798,LOCKED
62382,66.955,-62283998681925,-342894,0,30060.2,85470.5,10.4,-0.175,-704962,LOCKED
62383,67.955,-62283998708727,-370835,0,29256.0,98483.6,10.3,-0.174,-699335,LOCKED
62384,68.956,-62283998739485,-399755,0,28393.3,111753.1,10.0,-0.172,-695843,LOCKED
62385,69.957,-62283998776851,-432139,0,27472.3,125588.9,9.9,-0.169,-703476,LOCKED
62386,70.957,-62283998813817,-461620,0,26522.7,139943.3,9.4,-0.163,-702804,LOCKED
62387,71.955,-62283998831191,-470842,0,25602.3,153682.6,9.2,-0.160,-689758,LOCKED
62388,72.955,-62283998863229,-490525,0,24553.3,166857.2,8.8,-0.154,-684785,LOCKED
62389,73.956,-62283998897783,-507977,0,23351.6,178939.2,8.6,-0.149,-686051,LOCKED
62390,74.957,-62283998908539,-500769,7208,22154.5,189823.8,8.4,-0.144,-658131,LOCKED
62391,75.957,-62283998881518,-457549,50428,21031.1,198178.5,8.4,-0.144,-702064,LOCKED
62392,76.957,-62283998915548,-473929,34048,19918.8,207225.0,8.2,-0.138,-687631,LOCKED
62393,77.957,-62283998980746,-516143,0,18669.3,217124.0,7.9,-0.131,-555554,LOCKED
62394,78.957,-62283999047760,-555200,0,17301.8,227806.1,7.9,-0.124,-651172,LOCKED
62395,79.958,-62283998988509,-471629,83571,16041.1,234241.2,7.6,-0.116,-526975,LOCKED
62396,80.956,-62283999025915,-482372,72828,14745.1,240715.1,7.3,-0.106,-519334,LOCKED
62397,81.957,-62283999054681,-483437,71763,13463.5,247232.5,7.4,-0.103,-501291,LOCKED
62398,82.957,-62283999070870,-468186,87014,12035.7,250911.2,7.3,-0.091,-471171,LOCKED
62399,83.958,-62283999108228,-473047,82153,10634.2,255185.9,7.9,-0.085,-459134,LOCKED
62400,84.956,-62283999130827,-460858,94342,9168.6,257766.0,7.9,-0.080,-429751,LOCKED
62401,85.958,-62283999173984,-468163,87037,7735.0,261214.2,7.6,-0.063,-418562,LOCKED
62402,86.956,-62283999209153,-463957,91243,6191.6,262690.4,7.7,-0.053,-402872,LOCKED
62403,87.958,-62283999248335,-462018,93182,4634.9,263817.3,7.8,-0.053,-386582,LOCKED
62404,88.958,-62283999270713,-443283,111917,3124.1,264565.7,8.3,-0.038,-357230,LOCKED
62405,89.958,-62283999316286,-444557,110643,1532.9,263983.6,8.3,-0.023,-338911,LOCKED
62406,90.958,-62283999354069,-439152,116048,65.7,265193.3,8.2,-0.004,-317925,LOCKED
62407,91.958,-62283999386434,-427085,128115,-1410.7,265548.3,8.2,0.002,-290254,LOCKED
62408,92.957,-62283999421629,-417214,137986,-2862.2,265738.1,8.6,-0.027,-261068,LOCKED
62409,93.958,-62283999448626,-395006,160194,-4482.8,261396.8,8.5,-0.021,-225000,LOCKED
62410,94.958,-62283999429738,-330631,224569,-5948.2,256200.9,8.8,-0.045,-141223,LOCKED
62411,95.958,-62283999468563,-323273,231927,-7388.0,250986.6,9.6,-0.081,-111761,LOCKED
62412,96.959,-62283999514356,-322446,232754,-8779.9,246605.1,9.6,-0.087,-88953,LOCKED
62413,97.963,-62283999569731,-326703,228497,-10317.4,239164.8,9.7,-0.109,-74917,LOCKED
62414,98.958,-62283999610916,-316145,239055,-11827.7,231433.4,9.7,-0.081,-43351,LOCKED
62415,99.958,-62283999647859,-300994,254206,-13306.2,223181.6,9.7,-0.086,-7263,LOCKED
62416,100.957,-62283999578680,-188422,366778,-14471.8,215128.7,9.8,-0.102,23837,LOCKED
62417,101.959,-62283999607706,-172829,382371,-15666.3,205095.6,9.8,-0.102,69204,LOCKED
62418,102.959,-62283999737452,-250744,304456,-17026.9,195285.1,9.8,-0.104,130048,LOCKED
62419,103.959,-62283999766014,-227356,327844,-18365.4,183823.7,9.8,-0.096,179931,LOCKED
62420,104.959,-62283999762416,-175305,379895,-19552.8,172371.2,9.9,-0.088,302958,LOCKED
62421,105.959,-62283999762541,-129053,426147,-20656.9,159364.3,10.0,-0.099,342856,LOCKED
62422,106.959,-62283999799714,-120171,435029,-21705.7,146459.3,10.1,-0.092,387780,LOCKED
62423,107.959,-62283999865009,-138140,417060,-22735.4,134471.4,10.1,-0.086,429535,LOCKED
62424,108.959,-62283999872559,-101429,453771,-23624.9,123426.1,10.2,-0.080,483112,LOCKED
62425,109.959,-62283999887561,-71263,483937,-24565.6,106470.6,10.0,-0.075,550468,LOCKED
62426,110.959,-62283999908535,-49674,505526,-25367.9,91177.2,9.9,-0.076,618195,LOCKED
62427,111.959,-62283999944516,-45613,509587,-26013.5,80202.4,10.0,-0.071,669498,LOCKED
62428,112.961,-62283999969674,-30594,524606,-26659.1,65940.8,10.0,-0.072,730087,LOCKED
62429,113.959,-62283999992696,-16635,538565,-27139.0,55988.0,10.0,-0.069,794515,LOCKED
62430,114.960,-62283999990816,18582,573782,-27474.8,48238.5,9.7,-0.068,887473,LOCKED
62431,115.959,-62284000041012,2326,557526,-27796.7,41107.5,9.9,-0.075,922282,LOCKED
62432,116.959,-62284000096629,-18146,537054,-28127.8,34037.0,9.8,-0.077,963053,LOCKED
62433,117.959,-62284000103983,6231,561431,-28315.4,30378.6,9.8,-0.077,1039004,LOCKED
62434,118.960,-62284000135153,5167,560367,-28412.1,29262.1,9.5,-0.074,1100671,LOCKED
62435,119.960,-62284000167955,660,555860,-28407.4,29261.0,9.4,-0.073,1159562,LOCKED
62436,120.959,-62284000194557,2782,557982,-28427.6,29198.9,9.4,-0.072,1219455,LOCKED
62437,121.960,-62284000213079,10533,565733,-28339.2,28727.9,9.5,-0.073,1292302,LOCKED
62438,122.961,-62284000226073,22582,577782,-28214.8,28134.1,9.5,-0.071,1371339,LOCKED
62439,123.959,-62284000252887,23605,578805,-28235.5,27904.0,9.1,-0.066,1429762,LOCKED
62440,124.960,-62284000266398,35022,590222,-28131.2,28110.8,9.3,-0.066,1507948,LOCKED
62441,125.960,-62284000293462,34111,589311,-28090.8,28450.2,9.2,-0.063,1568923,LOCKED
62442,126.960,-62284000326209,27930,583130,-28062.4,28657.8,9.3,-0.062,1623789,LOCKED
62443,127.958,-62284000345822,34355,589555,-28020.2,29001.6,9.2,-0.059,1694601,LOCKED
62444,128.959,-62284000377596,29028,584228,-27991.2,29219.0,9.2,-0.060,1752043,LOCKED
62445,129.960,-62284000418766,15542,570742,-28002.0,29146.5,9.7,-0.058,1799041,LOCKED
62446,130.959,-62284000452139,10564,565764,-28038.9,28864.0,9.8,-0.055,1853592,LOCKED
62447,131.961,-62284000478709,12010,567210,-28057.8,28744.0,10.2,-0.051,1918825,LOCKED
62448,132.961,-62284000502702,15960,571160,-28078.8,28575.2,10.3,-0.052,1981506,LOCKED
62449,133.959,-62284000535473,11727,566927,-28120.9,28204.4,10.3,-0.046,2039986,LOCKED
62450,134.961,-62284000614833,-36260,518940,-28220.4,28495.7,10.3,-0.039,2047904,LOCKED
62451,135.961,-62284000643610,-35491,519709,-28226.4,28570.7,10.3,-0.030,2113874,LOCKED
62452,136.961,-62284000679236,-41009,514191,-28250.6,28872.9,10.2,-0.020,2162750,LOCKED
62453,137.961,-62284000710398,-40754,514446,-28338.4,29371.3,10.2,-0.009,2220007,LOCKED
62454,138.961,-62284000737599,-35371,519829,-28488.2,28974.1,10.2,-0.006,2284664,LOCKED
62455,139.959,-62284000769941,-37772,517428,-28496.7,29083.1,10.4,0.012,2343326,LOCKED
62456,140.961,-62284000740391,18125,573325,-28421.2,28989.8,10.2,0.029,2390757,LOCKED
62457,141.961,-62284000818773,-30665,524535,-28427.6,29057.1,10.5,0.041,2460291,LOCKED
62458,142.963,-62284000854170,-36521,518679,-28421.5,28972.3,10.6,0.030,2528626,LOCKED
62459,143.961,-62284000779972,60715,615915,-28258.0,29796.5,10.6,0.009,2580640,LOCKED
62460,144.960,-62284000869708,-2135,553065,-28187.0,29229.9,10.7,0.001,2690307,LOCKED
62461,145.961,-62284000924948,-28308,526892,-28183.0,29188.1,10.8,-0.002,2763949,LOCKED
62462,146.960,-62284000898899,23415,578615,-28098.7,29168.7,11.0,-0.018,2841112,LOCKED
62463,147.961,-62284000923100,24998,580198,-28026.5,29283.5,11.0,-0.019,2907869,LOCKED
62464,148.959,-62284000948074,25432,580632,-27940.1,29308.5,11.0,-0.036,2971484,LOCKED
62465,149.960,-62284000957240,41040,596240,-27852.8,29810.0,11.0,-0.023,3052071,LOCKED
62466,150.961,-62284000984030,39335,594535,-27782.3,30284.5,11.0,-0.022,3117710,LOCKED
62467,151.963,-62284001004415,43768,598968,-27709.5,30860.8,10.8,-0.020,3071282,LOCKED
62468,152.964,-62284001138762,-58505,496695,-27826.6,31847.0,10.8,-0.023,3135629,LOCKED
62469,153.960,-62284001170991,-58479,496721,-27946.9,32793.3,10.8,-0.028,3196627,LOCKED
62470,154.961,-62284001168334,-27193,528007,-27935.1,32677.7,10.8,-0.031,3284422,LOCKED
62471,155.962,-62284001207555,-36790,518410,-27956.8,32890.8,10.7,-0.042,3334454,LOCKED
62472,156.962,-62284001227772,-27393,527807,-27992.7,33087.0,10.7,-0.036,3404740,LOCKED
62473,157.962,-62284001255487,-24655,530545,-28072.6,33134.4,10.9,-0.047,3465982,LOCKED
62474,158.960,-62284001287292,-25329,529871,-28180.7,32944.4,10.6,-0.049,3521787,LOCKED
62475,159.962,-62284001317854,-24290,530910,-28308.5,32445.8,10.6,-0.051,3582564,LOCKED
62476,160.961,-62284001346064,-24108,531092,-28272.4,32041.0,10.6,-0.052,3642834,LOCKED
62477,161.962,-62284001373054,-22880,532320,-28231.5,31574.6,10.7,-0.060,3710858,LOCKED
62478,162.962,-62284001390819,-9842,545358,-28341.6,30774.3,10.7,-0.060,3778308,LOCKED
62479,163.961,-62284001418178,-6377,548823,-28453.1,29790.8,10.4,-0.060,3843310,LOCKED
62480,164.960,-62284001395726,42611,597811,-28429.8,30084.8,10.1,-0.058,3950820,LOCKED
62481,165.961,-62284001436786,28083,583283,-28383.3,30324.8,10.0,-0.059,4006511,LOCKED
62482,166.961,-62284001450936,39880,595080,-28330.0,30777.8,9.8,-0.061,4078359,LOCKED
62483,167.963,-62284001478741,39300,594500,-28341.1,30615.4,9.5,-0.058,4140473,LOCKED
62484,168.963,-62284001500748,43555,598755,-28311.5,30970.9,9.2,-0.059,4210949,LOCKED
62485,169.961,-62284001525945,44089,599289,-28258.1,31489.9,8.8,-0.055,4271099,LOCKED
62486,170.962,-62284001550711,44678,599878,-28189.8,32059.6,8.9,-0.056,4340193,LOCKED
62487,171.961,-62284001570285,50239,605439,-28123.3,32734.7,8.5,-0.054,4296396,LOCKED
62488,172.963,-62284001698043,-45903,509297,-28218.6,33303.2,8.5,-0.054,4370754,LOCKED
62489,173.961,-62284001710656,-28145,527055,-28277.5,33513.6,8.0,-0.047,4447805,LOCKED
62490,174.961,-62284001726404,-15378,539822,-28263.6,33428.9,7.9,-0.043,4530352,LOCKED
62491,175.961,-62284001753593,-13455,541745,-28282.8,33477.1,8.0,-0.045,4583083,LOCKED
62492,176.961,-62284001797614,-26456,528744,-28373.4,33495.3,8.1,-0.047,4634093,LOCKED
62493,177.962,-62284001821196,-20027,535173,-28420.5,33592.6,8.0,-0.043,4693400,LOCKED
62494,178.962,-62284001858422,-26598,528602,-28486.1,33754.4,7.8,-0.038,4746496,LOCKED
62495,179.962,-62284001877792,-15785,539415,-28543.2,33745.3,7.7,-0.033,4817777,LOCKED
62496,180.962,-62284001897189,-5654,549546,-28582.2,33678.7,7.7,-0.026,4887334,LOCKED
62497,181.963,-62284001914591,5430,560630,-28586.5,33669.7,7.7,-0.026,4959719,LOCKED
62498,182.964,-62284001926753,20189,575389,-28538.3,33766.4,7.7,-0.018,5039169,LOCKED
62499,183.962,-62284001934959,37543,592743,-28454.4,34120.5,7.7,-0.011,5120729,LOCKED
62500,184.962,-62284002020878,-19536,535664,-28440.8,34022.2,7.7,-0.011,5123875,LOCKED
62501,185.963,-62284002057115,-26551,528649,-28435.0,33971.3,7.6,-0.002,5178388,LOCKED
62502,186.963,-62284002062097,-3786,551414,-28394.8,33781.3,7.6,-0.000,5261016,LOCKED
62503,187.963,-62284002086043,-621,554579,-28330.7,33401.6,7.3,0.010,5329098,LOCKED
62504,188.962,-62284002113469,-945,554255,-28268.6,33035.8,7.1,0.023,5389812,LOCKED
62505,189.963,-62284002138426,1349,556549,-28220.8,32848.4,7.1,0.015,5453709,LOCKED
62506,190.965,-62284002179028,-11068,544132,-28200.6,32739.1,7.1,0.020,5500499,LOCKED
62507,191.964,-62284002210262,-14032,541168,-28180.6,32612.4,7.1,0.011,5564301,LOCKED
62508,192.967,-62284002230624,-6838,548362,-28138.5,32355.2,7.6,0.021,5633886,LOCKED
62509,193.962,-62284002259625,-8138,547062,-28103.4,32147.7,7.6,0.029,5692431,LOCKED
62510,194.963,-62284002322590,-39489,515711,-28210.3,32461.5,7.6,0.036,5718934,LOCKED
62511,195.963,-62284002260191,48627,603827,-28168.7,32953.1,7.7,0.025,5758781,LOCKED
62512,196.962,-62284002285380,49330,604530,-28139.0,33338.5,7.7,0.033,5935503,LOCKED
62513,197.962,-62284002308718,51807,607007,-28111.1,33722.4,7.8,0.026,6003675,LOCKED
62514,198.964,-62284002347552,39600,0,-28104.1,33804.1,7.7,0.036,5939964,LOCKED
62515,199.963,-62284002465506,-45618,0,-28255.8,33914.6,7.8,0.014,6022440,LOCKED
62516,200.963,-62284002482296,-32345,13273,-28290.8,34156.3,8.2,-0.004,6097330,LOCKED
62517,201.963,-62284002511457,-29789,15829,-28409.6,34006.1,8.2,-0.028,6156763,LOCKED
62518,202.966,-62284002538883,-25310,20308,-28539.3,33534.3,8.5,-0.050,6219261,LOCKED
62519,203.963,-62284002561069,-19384,26234,-28486.0,32951.2,8.5,-0.044,6290181,LOCKED
62520,204.963,-62284002557177,12439,58057,-28479.5,32973.3,8.5,-0.047,6377333,LOCKED
