# elapsed_s,phase_ns
0.5,-8203195
1.8,-8207205
3.2,-8203190
4.6,-8196795
5.9,-8203195
7.2,-8205605
8.6,-8198400
10.0,-8203190
11.3,-8206195
12.7,-8202400
14.0,-8203995
15.3,-8199195
16.7,-8205595
18.0,-8202346
19.3,-8204000
20.7,-8205590
22.0,-8204790
23.4,-8205595
24.7,-8203995
26.0,-8205694
27.4,-8202395
28.7,-8200800
30.1,-8204805
31.5,-8202395
32.8,-8205565
34.2,-8203200
35.6,-8203205
37.1,-8203200
38.4,-8203190
39.9,-8204800
41.2,-8204795
42.6,-8206400
43.9,-8203215
45.2,-8205600
46.6,-8204000
47.9,-8204800
49.3,-8199200
50.6,-8203995
52.0,-8207200
53.3,-8203200
54.6,-8203995
55.9,-8203195
57.3,-8202400
58.6,-8195200
59.9,-8203195
61.3,23205
62.6,130395
64.0,175985
65.4,219200
66.8,260796
68.2,289600
69.7,331995
71.0,345595
72.4,354395
73.7,364800
75.0,369600
76.4,377595
77.7,381600
79.0,383995
80.4,383185
81.8,402385
83.1,399190
84.4,399195
85.8,394212
87.1,394391
88.4,391891
89.9,389600
91.2,389605
92.5,383205
93.9,379190
95.3,374395
96.6,365595
97.9,357469
99.3,351953
100.6,334395
102.0,324800
103.3,315190
104.7,297580
106.0,291190
107.4,283992
108.7,269576
110.0,258083
111.4,250400
112.8,232000
114.1,221595
115.4,212785
116.8,199995
118.2,191205
119.5,178332
120.9,171195
122.3,161555
123.7,142400
125.0,139200
126.4,133600
127.8,127190
129.1,123210
130.5,121600
131.9,115995
133.2,116785
134.5,111990
135.9,107195
137.2,104790
138.6,96805
139.9,91995
141.2,88790
142.6,84964
143.9,83195
145.3,80667
146.6,80790
147.9,79990
149.3,76805
150.6,71195
151.9,67995
153.2,66395
154.6,61595
156.0,56795
157.3,57590
158.6,55195
160.0,56000
161.4,56805
162.7,53590
164.1,47195
165.4,46395
166.8,45595
168.1,44790
169.5,47205
170.9,45600
172.2,46400
173.6,41590
175.0,39195
176.4,39190
177.8,37625
179.2,37600
180.6,42395
181.9,39195
183.2,38400
184.6,35990
185.9,34400
187.3,33479
188.7,34395
190.0,35195
191.3,33595
192.7,35185
194.0,32800
195.4,35985
196.8,32795
198.1,32015
199.5,31985
200.8,27190
202.2,23995
203.5,22390
204.8,20363
206.2,19205
207.6,20000
208.9,20805
210.2,19205
211.6,21590
212.9,20043
214.2,19205
215.6,18400
216.9,17610
218.2,18395
219.6,18400
220.9,15995
222.3,16005
223.6,14405
225.0,16790
226.3,16815
227.7,17605
229.0,16795
230.4,18405
231.7,19990
233.1,22400
234.4,20790
235.7,20785
237.1,21605
238.4,22395
239.9,21407
241.3,23995
242.7,25605
244.2,23083
245.6,22257
247.0,23200
248.4,22395
249.7,22286
251.1,21605
252.6,17481
254.1,16072
255.5,16790
257.0,20795
258.5,21605
260.0,21600
261.5,20000
263.0,19995
264.4,20000
265.8,19990
267.2,17595
268.5,16795
270.0,16000
271.5,16805
273.0,16800
274.4,13605
275.8,11190
277.1,13595
278.4,12110
279.9,12005
281.2,12785
282.6,9600
284.1,8795
285.4,7995
286.7,9600
288.1,11995
289.5,13595
290.8,13595
292.2,12810
293.5,10397
294.9,10400
296.3,8805
297.7,11190
299.0,9600
300.3,8780
301.7,7985
303.1,6410
304.5,4800
305.9,4805
307.2,3995
308.9,5590
310.3,6262
312.7,4800
314.0,3200
