# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
60469,133.660,-54410740395055,-29467,40582,-31120.3,30168.3,9.8,-0.190,-30141,LOCKED
60470,134.659,-54410740370394,25238,95287,-31109.5,30251.8,9.6,-0.185,29059,LOCKED
60471,135.660,-54410740411648,14396,84445,-31099.2,30292.9,9.5,-0.180,27322,LOCKED
60472,136.660,-54410740452542,3539,73588,-31052.8,30136.8,9.3,-0.174,32890,LOCKED
60473,137.660,-54410740514551,-26427,43622,-31057.5,30177.4,9.5,-0.175,-78807,LOCKED
60474,138.660,-54410740577332,-55320,14729,-31104.4,30856.0,9.6,-0.168,-56695,LOCKED
60475,139.660,-54410740596542,-42152,27897,-31096.8,30740.9,9.6,-0.167,-38052,LOCKED
60476,140.660,-54410740593502,-9021,61028,-31032.3,30129.4,9.7,-0.159,-2700,LOCKED
60477,141.660,-54410740615501,-469,69580,-31007.9,30066.0,9.8,-0.157,7164,LOCKED
60478,142.660,-54410740619635,25034,95083,-30982.2,30224.7,9.8,-0.163,38462,LOCKED
60479,143.660,-54410740653018,21903,91952,-30982.7,30220.3,9.7,-0.154,28592,LOCKED
60480,144.660,-54410740687546,17381,87430,-30963.7,30299.4,9.7,-0.151,-83047,LOCKED
60481,145.661,-54410740717994,17627,87676,-30979.8,30174.7,9.8,-0.147,-74048,LOCKED
60482,146.661,-54410740818722,-48136,21913,-31095.6,30778.9,9.8,-0.131,-35716,LOCKED
60483,147.661,-54410740839475,-34960,35089,-31176.6,31105.4,9.8,-0.126,-24144,LOCKED
60484,148.661,-54410740859423,-21953,48096,-31227.5,31233.2,9.6,-0.108,-11574,LOCKED
60485,149.661,-54410740868181,1825,71874,-31294.9,30751.9,9.6,-0.087,8769,LOCKED
60486,150.661,-54410740901774,-1731,68318,-31230.1,30301.4,9.8,-0.053,9997,LOCKED
60487,151.661,-54410740941074,-10725,59324,-31166.8,29662.6,9.4,-0.025,-1223,LOCKED
60488,152.662,-54410740974697,-11162,58887,-31247.5,29321.9,9.4,0.005,-7710,LOCKED
60489,153.662,-54410741011608,-17007,53042,-31210.2,28950.1,9.4,0.006,-14821,LOCKED
60490,154.662,-54410740991529,33519,103568,-31228.6,28690.1,9.4,0.010,37744,LOCKED
60491,155.660,-54410741033310,21560,86855,-31195.4,28837.0,9.8,-0.013,-80480,LOCKED
60492,156.661,-54410741145498,-55599,9696,-31291.2,29808.7,9.7,0.008,-53124,LOCKED
60493,157.661,-54410741159283,-34916,30379,-31389.2,30048.4,9.6,0.021,-40173,LOCKED
60494,158.662,-54410741177887,-19244,46051,-31499.1,29579.4,9.4,0.019,-23026,LOCKED
60495,159.661,-54410741191811,148,65443,-31588.7,28749.4,9.4,0.029,-4841,LOCKED
60496,160.661,-54410741220182,4092,69387,-31631.3,28495.6,9.2,0.027,-195,LOCKED
60497,161.662,-54410741242386,12692,77987,-31611.7,28546.9,8.5,0.025,5397,LOCKED
60498,162.662,-54410741270108,14299,79594,-31523.3,28189.5,8.7,0.035,11097,LOCKED
60499,163.662,-54410741292499,20873,86168,-31432.3,28015.9,8.7,0.035,18461,LOCKED
60500,164.663,-54410741297837,44223,109518,-31371.0,28624.5,8.6,0.036,44903,LOCKED
60501,165.662,-54410741340390,30905,96200,-31317.5,28930.5,8.6,0.044,-73623,LOCKED
60502,166.662,-54410741459213,-53527,11768,-31379.4,29726.8,8.5,0.044,-51772,LOCKED
60503,167.662,-54410741485398,-46422,18873,-31396.0,29970.5,8.5,0.045,-46604,LOCKED
60504,168.662,-54410741508744,-34120,31175,-31548.2,29470.4,8.6,0.051,-36353,LOCKED
60505,169.662,-54410741528935,-20463,44832,-31627.2,29412.4,8.6,0.044,-22107,LOCKED
60506,170.662,-54410741543918,-3088,62207,-31658.0,29349.5,8.7,0.038,-5869,LOCKED
60507,171.662,-54410741573488,-1090,64205,-31651.8,29343.0,8.4,0.040,-1824,LOCKED
60508,172.662,-54410741587619,14949,80244,-31603.8,29364.8,8.5,0.037,18060,LOCKED
60509,173.662,-54410741502520,122448,187743,-31355.3,33644.2,8.5,0.038,25636,LOCKED
60510,174.662,-54410741632396,24091,89386,-31403.5,33069.2,8.5,0.039,-61779,LOCKED
60511,175.664,-54410741648937,34850,100145,-31259.8,32787.8,8.3,0.042,-53901,LOCKED
60512,176.663,-54410741769943,-50083,15212,-31413.0,33100.3,8.3,0.037,-33286,LOCKED
60513,177.663,-54410741780924,-26794,38501,-31508.9,33084.1,8.3,0.038,-23120,LOCKED
60514,178.662,-54410741795119,-8263,57032,-31555.0,33012.4,8.8,0.034,876,LOCKED
60515,179.662,-54410741824682,-5577,59718,-31579.8,33000.5,8.8,0.035,9997,LOCKED
60516,180.662,-54410741865035,-13372,51923,-31605.6,33049.9,8.8,0.034,17829,LOCKED
60517,181.663,-54410741893766,-9266,56029,-31650.7,32998.1,8.9,0.030,-6913,LOCKED
60518,182.664,-54410741923195,-5876,59419,-31698.4,32881.0,8.9,0.032,-3945,LOCKED
60519,183.662,-54410741956742,-6422,58873,-31751.8,32730.2,8.9,0.028,-8399,LOCKED
60520,184.663,-54410741929508,48824,114119,-31649.2,33369.2,8.8,0.025,45293,LOCKED
60521,185.662,-54410741968595,37959,103254,-31544.0,33631.6,9.2,0.019,44940,LOCKED
60522,186.662,-54410742001186,33999,99294,-31457.4,33882.8,9.6,0.019,36554,LOCKED
60523,187.663,-54410742055764,9079,74374,-31384.0,33612.1,10.4,0.013,-78581,LOCKED
60524,188.663,-54410742080912,13039,78334,-31293.8,33252.3,10.4,0.009,-66830,LOCKED
60525,189.663,-54410742181877,-54171,11124,-31324.6,33690.7,11.2,0.003,-25873,LOCKED
60526,190.663,-54410742211392,-50783,14512,-31317.5,33574.4,11.4,0.006,-21574,LOCKED
60527,191.663,-54410742226891,-31902,33393,-31415.0,33699.5,11.4,0.009,-10557,LOCKED
60528,192.663,-54410742226662,884,66179,-31472.6,33386.6,11.7,0.013,18020,LOCKED
60529,193.663,-54410742237999,20466,85761,-31479.5,33337.9,12.3,0.019,39481,LOCKED
60530,194.663,-54410742329381,-37898,27397,-31492.0,33472.8,12.3,0.025,-22441,LOCKED
60531,195.664,-54410742388072,-61591,3704,-31561.7,34374.5,12.4,0.033,-20579,LOCKED
60532,196.663,-54410742360937,-3099,62196,-31546.5,34339.8,12.6,0.042,4426,LOCKED
60533,197.664,-54410742372507,16378,81673,-31549.2,34325.2,12.7,0.043,25170,LOCKED
60534,198.663,-54410742391277,28923,94218,-31585.9,33879.5,12.8,0.039,37995,LOCKED
60535,199.663,-54410742421605,29549,94844,-31604.1,33683.1,12.5,0.064,-71265,LOCKED
60536,200.663,-54410742516997,-31780,33515,-31672.1,33945.1,12.5,0.064,-23187,LOCKED
60537,201.663,-54410742528767,-11141,54154,-31689.7,33978.5,12.5,0.067,-9140,LOCKED
60538,202.663,-54410742553307,-4675,60620,-31648.3,33766.5,12.4,0.066,527,LOCKED
60539,203.664,-54410742574491,4467,69762,-31590.7,33551.6,12.0,0.098,10696,LOCKED
60540,204.663,-54410742676764,-62828,2467,-31652.6,34416.5,11.8,0.118,-60192,LOCKED
60541,205.664,-54410742703961,-55524,9771,-31700.1,35020.4,11.9,0.108,-60725,LOCKED
60542,206.664,-54410742729129,-44454,20841,-31849.2,35106.8,11.9,0.114,-45122,LOCKED
60543,207.665,-54410742759688,-39227,26068,-31977.4,35208.9,11.8,0.126,-42092,LOCKED
60544,208.664,-54410742785640,-30188,35107,-32075.3,35275.5,11.9,0.129,-36473,LOCKED
60545,209.664,-54410742809221,-20111,45184,-32119.6,35374.1,12.0,0.115,-22418,LOCKED
60546,210.664,-54410742821976,-440,64855,-32133.9,35358.6,12.0,0.087,-249,LOCKED
60547,211.664,-54410742894303,-37477,27818,-32226.7,35661.4,12.2,0.067,-41922,LOCKED
60548,212.665,-54410742931508,-39053,26242,-32328.9,35958.8,12.1,0.048,-45654,LOCKED
60549,213.664,-54410742951862,-24432,40863,-32418.3,35931.0,12.2,0.045,-30469,LOCKED
60550,214.664,-54410742933343,24008,89303,-32335.5,35940.5,12.7,0.023,22969,LOCKED
60551,215.664,-54410742949337,37184,102479,-32241.8,36226.3,13.0,0.006,42004,LOCKED
60552,216.664,-54410742981279,37087,102382,-32284.1,35616.7,13.0,-0.004,36613,LOCKED
60553,217.664,-54410743003258,45833,111128,-32283.9,35620.3,13.4,-0.019,45450,LOCKED
60554,218.665,-54410743024614,54188,119483,-32247.7,36086.1,13.4,-0.026,52829,LOCKED
60555,219.664,-54410743056409,51608,116903,-32184.6,36699.1,13.4,-0.038,47224,LOCKED
60556,220.664,-54410743080798,55909,121204,-32105.9,37446.2,13.3,-0.042,47659,LOCKED
60557,221.665,-54410743132273,34162,99457,-32045.9,37732.4,13.5,-0.051,-80469,LOCKED
60558,222.664,-54410743233918,-33320,31975,-32094.5,37995.1,13.3,-0.058,-42435,LOCKED
60559,223.664,-54410743262075,-27956,37339,-32118.0,38133.3,13.3,-0.060,-41155,LOCKED
60560,224.664,-54410743277844,-12230,53065,-32067.0,37754.8,13.1,-0.061,-19270,LOCKED
60561,225.664,-54410743294376,1981,67276,-32005.2,37484.4,12.7,-0.059,-3583,LOCKED
60562,226.664,-54410743323346,6395,71690,-32083.7,36845.2,12.6,-0.055,3532,LOCKED
60563,227.665,-54410743349525,13120,78415,-32145.9,36293.2,12.4,-0.050,12827,LOCKED
60564,228.665,-54410743391095,4879,70174,-32212.2,35833.1,11.9,-0.047,-708,LOCKED
60565,229.665,-54410743400223,27261,92556,-32223.1,35735.7,11.9,-0.044,15556,LOCKED
60566,230.665,-54410743431614,26852,92147,-32206.9,35841.7,11.9,-0.045,18568,LOCKED
60567,231.665,-54410743472963,17066,82361,-32203.6,35857.0,11.8,-0.042,3252,LOCKED
60568,232.664,-54410743495620,24802,90097,-32155.9,36013.4,12.0,-0.044,10582,LOCKED
