# elapsed_s,phase_ns
0.4,-103527
1.7,-103629
3.0,-103616
4.3,-103543
5.7,-103582
7.0,-103614
8.3,-103532
9.6,-103622
10.9,-103257
12.2,-103598
13.5,-103612
14.8,-103552
16.1,-103593
17.4,-103583
18.8,-103612
20.1,-103552
21.4,-103603
22.8,-103602
24.1,-103608
25.4,-103468
26.7,-103602
28.0,-103602
29.4,-103612
30.7,-103580
32.0,-103622
33.3,-103552
34.6,-103584
35.9,-103522
37.3,-103592
38.6,-103602
39.9,-103632
41.2,-103347
42.5,-103605
43.8,-103639
45.2,-103592
46.5,-101279
47.8,-103582
49.2,-103612
50.5,-103592
51.8,-103582
53.1,-103552
54.4,-103578
55.8,-103602
57.0,-103588
58.3,-102011
59.7,57885
61.0,-103344
62.3,-103599
63.6,-103637
64.9,-103492
66.2,-103572
67.5,-103612
68.9,-103186
70.2,-103539
71.5,-103217
72.8,-103048
74.1,-103622
75.4,-103603
76.7,-103572
78.0,-103601
79.3,-103609
80.7,-103603
82.0,-102818
83.3,-103602
84.6,-103548
86.0,-103599
87.3,-103187
88.6,-103462
89.9,-103624
91.2,-103398
92.5,-103494
93.8,-103525
95.1,-103614
96.5,-103604
97.8,-103604
99.1,-103602
100.4,-103602
101.7,-103592
103.0,-103594
104.4,-103611
105.7,-103597
107.0,-103606
108.3,-103572
109.6,-103578
110.9,-103612
112.2,-102797
113.5,-103621
114.8,-103607
116.1,-103611
117.4,-103632
118.7,-103639
120.1,-103634
121.4,-103532
122.7,-103553
124.0,-103629
125.4,-103512
126.7,-103572
128.0,-103562
129.3,-103592
130.6,-103622
131.9,94869
133.3,85066
134.6,79718
135.9,75522
137.2,72398
138.5,65188
139.8,65512
141.1,61860
142.4,51897
143.7,49286
145.0,46778
146.3,44403
147.6,43251
148.9,42889
150.3,36219
151.6,35845
152.9,34751
154.2,34552
155.5,29829
156.9,26333
158.2,24888
159.5,21628
160.8,21866
162.1,21799
163.4,20459
164.7,20481
166.0,18517
167.3,18677
168.7,16279
170.0,16362
171.3,20619
172.6,19179
173.9,20087
175.2,22641
176.5,24869
177.8,25973
179.1,22603
180.4,23367
181.7,22866
183.1,24008
184.4,25462
185.7,24165
187.0,23538
188.4,20134
189.7,23638
191.0,19338
192.3,19901
193.6,18486
195.0,19977
196.3,20380
197.6,20282
198.9,18921
200.2,20242
201.5,20501
203.0,19590
204.3,19536
205.6,17668
206.9,18008
208.3,13641
209.6,14578
210.9,16096
212.2,14278
213.5,11799
214.9,12715
216.2,12909
217.5,13508
218.8,12568
220.1,12918
221.4,10285
222.7,11016
224.1,9283
225.4,7988
226.7,7059
228.0,7057
229.3,3519
230.6,4279
231.9,6188
233.3,5695
234.6,4559
235.9,5558
237.2,3588
238.5,1510
239.8,1281
241.1,1919
242.5,1028
243.8,88
245.1,1504
246.5,2108
247.8,1927
249.1,680
250.4,-316
251.7,508
253.0,68
254.3,-998
255.7,-3162
257.0,-2261
258.3,-2966
259.6,-1563
