# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
65067,0.617,-130643028184731,0,0,-329153.0,inf,10.9,0.030,0,ACQUIRING
65068,1.616,-130643028189662,0,0,-167042.0,132363.1,11.3,0.011,0,ACQUIRING
65069,2.616,-130643028120588,0,0,-79996.1,146247.4,13.4,-0.004,0,ACQUIRING
65070,3.617,-130643028082686,0,0,-39007.3,140922.5,14.6,-0.012,0,ACQUIRING
65071,4.617,-130643028075336,0,0,-20673.7,129827.0,15.5,-0.033,0,ACQUIRING
65072,5.617,-130643028023594,0,0,-6367.2,124074.0,16.8,-0.061,0,ACQUIRING
65073,6.617,-130643027975351,0,0,4144.7,119898.4,17.2,-0.065,0,ACQUIRING
65074,7.617,-130643027986078,0,0,8058.8,112376.1,17.5,-0.084,0,ACQUIRING
65075,8.617,-130643027928399,0,0,12758.0,107968.0,18.0,-0.030,0,ACQUIRING
65076,9.617,-130643027970773,0,0,12815.2,101793.8,18.1,-0.015,0,ACQUIRING
65077,10.618,-130643027882723,0,0,15741.8,98661.4,18.5,0.025,0,ACQUIRING
65078,11.617,-130643027892237,0,0,16678.1,94352.1,18.5,0.033,0,ACQUIRING
65079,12.621,-130643027780039,0,0,19995.7,94842.7,18.8,0.053,0,ACQUIRING
65080,13.618,-130643027786141,0,0,21499.7,92273.1,18.8,0.058,0,ACQUIRING
65081,14.618,-130643027778262,0,0,22205.6,89233.6,18.8,0.061,0,ACQUIRING
65082,15.618,-130643027755412,0,0,22702.7,86402.6,18.8,0.050,0,ACQUIRING
65083,16.619,-130643027720358,0,0,23268.2,83967.0,18.7,0.029,0,ACQUIRING
65084,17.618,-130643027722322,0,0,23274.6,81460.0,18.6,0.031,0,ACQUIRING
65085,18.618,-130643027612039,0,0,24522.3,81315.0,18.6,0.044,0,ACQUIRING
65086,19.621,-130643027561014,0,0,25790.0,81710.7,18.5,0.044,0,ACQUIRING
