# elapsed_s,phase_ns
0.4,-103532
1.7,-103621
3.0,-103297
4.3,-103537
5.6,-103597
6.9,-103297
8.3,-103235
9.5,-103537
10.9,-103340
12.2,-103427
13.5,-103634
14.8,-103498
16.2,-102977
17.5,-103576
18.8,-103317
20.1,-103602
21.4,-103392
22.8,-103566
24.0,-103277
25.4,-103208
26.7,-103537
28.0,-102302
29.3,-103592
30.7,-103590
31.9,-103277
33.2,-103597
34.5,-103557
35.8,-103600
37.1,-103192
38.4,-103348
39.8,-103597
41.1,-103557
42.4,-103497
43.7,-103558
45.0,-103137
46.3,-103567
47.6,-103548
48.9,-103587
50.2,-103567
51.5,-103517
52.8,-103456
54.1,-103410
55.4,-103237
56.8,-103617
58.1,-103487
59.4,3030
60.7,13658
62.0,27321
63.3,57309
64.6,65541
65.9,74032
67.3,86131
68.6,-103587
69.9,-103558
71.2,-103574
72.5,-103597
73.9,-103456
75.2,-103227
76.5,-103617
77.8,-103547
79.1,-103519
80.4,-102727
81.8,-103513
83.1,-103180
84.4,-103427
85.7,-103501
87.0,-103567
88.3,-103497
89.6,-103509
90.9,-103447
92.3,-103626
93.6,-103437
94.9,-103347
96.2,-103557
97.5,-103557
98.8,-103066
100.1,-103261
101.5,-103557
102.8,-103568
104.2,-103344
105.5,-103435
106.8,-103529
108.1,-103558
109.5,98000
110.8,95578
112.1,93630
113.4,84925
114.7,81258
116.0,79681
117.3,73108
118.6,70437
120.0,67172
121.3,57978
122.6,53970
124.0,50628
125.3,42948
126.6,46168
127.9,46857
129.3,47683
130.6,44278
131.9,43188
133.2,42139
134.5,38358
135.8,37229
137.1,34548
138.5,31859
139.8,31638
141.1,30779
142.4,28935
143.8,25895
145.0,25197
