# elapsed_s,phase_ns
0.4,-8204000
1.7,-8202400
3.1,-8202405
4.4,-8204005
5.8,-8201595
7.1,-8202390
8.5,-8203995
9.9,-8206400
11.3,-8202400
12.7,-8204805
14.1,-8203995
15.4,-8199200
16.8,-8203190
18.2,-8202400
19.5,-8206405
20.9,-8203195
22.2,-8205600
23.6,-8205600
24.9,-8203990
26.3,-8203995
27.7,-8203200
29.1,-8199995
30.4,-8205595
31.8,-8203995
33.1,-8204025
34.5,-8204795
35.9,-8204921
37.2,-8202400
38.6,-8205595
39.9,-8204795
41.2,-8203961
42.6,-8205595
44.0,-8205595
45.3,-8203200
46.7,-8206400
48.0,-8202390
49.4,-8202395
50.7,-8207195
52.1,-8200800
53.4,-8203190
54.8,-8199995
56.2,-8204921
57.6,-8206400
58.9,-8201576
60.3,59195
61.6,140795
62.9,173590
64.3,200790
65.6,254385
66.9,279253
68.3,299995
69.6,325595
70.9,341465
72.3,351185
73.6,360780
74.9,361600
76.3,362395
77.6,382390
79.0,381596
80.4,380000
81.7,389590
83.0,396795
84.4,400790
85.7,400795
87.1,398400
88.4,394536
89.8,387191
91.2,387195
92.5,383200
93.9,383190
95.2,378405
96.6,364790
97.9,361600
99.3,351074
100.6,332048
101.9,323995
103.3,318395
104.7,305595
106.0,295195
107.4,285590
108.7,265595
110.1,260005
111.4,248790
112.8,228795
114.2,216800
115.6,192005
117.0,183990
118.3,174405
119.7,153595
121.1,147190
122.4,141596
123.7,129595
125.0,121600
126.4,115853
127.8,102400
129.1,95200
130.5,85585
132.0,83200
133.4,81600
134.7,76795
136.1,76790
137.4,75195
138.7,68790
140.1,67190
141.5,66385
142.8,61610
144.2,62400
145.6,61600
146.9,58400
148.3,60000
149.7,54395
151.0,55195
152.4,56000
153.7,55243
155.0,52795
156.4,52785
157.7,47062
159.1,43990
160.4,48000
161.7,45292
163.1,45605
164.5,47200
165.9,47995
167.2,47200
168.5,46400
169.9,43200
171.3,43985
172.8,43279
174.1,44652
175.5,42400
176.8,39990
178.2,38400
179.5,35990
180.9,33605
182.2,34400
183.5,31985
184.9,32795
186.3,33605
187.6,33580
188.9,30395
190.3,32010
191.7,32800
193.0,29610
194.4,28800
195.7,26410
197.1,23262
198.5,24800
199.8,25648
201.2,26415
202.6,25590
204.0,27205
205.3,27830
206.6,29595
207.9,27195
209.4,23995
210.7,22574
212.1,27180
213.5,28005
214.8,27995
216.2,25600
217.6,27200
219.0,23990
220.4,23200
221.8,24000
223.1,24800
224.5,23990
225.8,22400
227.2,22426
228.5,21590
229.8,16950
231.2,17595
232.5,18400
233.9,14410
235.2,15205
236.6,14400
237.9,12756
239.3,11200
240.6,10373
241.9,9605
243.3,9605
244.6,4805
245.9,4000
247.3,2400
248.6,-800
250.0,-5
251.4,1560
252.7,790
254.1,-1595
255.4,-3195
256.8,-4000
258.2,-3995
259.6,-8005
260.9,-4000
262.3,-3985
263.7,-3335
265.0,-3995
266.4,-3215
267.8,-1605
269.1,-1590
270.6,-1600
271.9,-10
273.2,-5
274.6,1595
276.0,2390
277.4,2395
278.7,-15
280.1,2400
281.4,4000
282.7,3995
284.1,3190
285.5,5470
286.9,7200
288.2,4790
289.6,5406
290.9,5590
292.3,7995
293.8,8795
295.1,10248
296.4,9595
297.7,11995
299.1,11075
300.5,11185
301.8,10395
303.2,11195
304.6,9585
305.9,10385
307.2,10395
308.6,9595
310.0,11200
311.3,11200
312.6,11200
314.0,12780
315.3,12000
316.7,13605
318.0,12775
319.3,10371
320.7,11205
322.1,11200
323.4,11195
324.7,11995
326.1,11221
327.5,10415
328.9,8790
330.3,9600
331.6,11493
332.9,10395
334.3,12005
335.7,12005
337.1,11195
338.5,11069
339.8,7195
341.2,8795
342.6,8707
343.9,5600
345.3,4796
346.6,3907
348.0,3200
349.3,3210
350.6,1600
351.9,810
353.3,1575
354.7,4790
356.0,4005
357.3,4785
358.7,2376
360.1,2400
361.4,795
362.7,4795
364.1,7195
365.4,5595
366.8,3995
368.2,4686
369.6,5600
370.9,4000
372.3,4000
373.7,3995
375.1,3995
376.5,5434
377.9,7210
379.3,5595
380.6,5595
382.0,5600
383.3,7200
384.6,7985
386.1,7995
387.4,7200
388.8,6395
390.1,7200
391.6,7874
392.9,8800
394.2,9605
395.6,8795
397.0,9590
398.4,9590
399.7,11091
401.1,9595
402.5,9600
403.8,8761
405.2,8000
406.6,7098
407.9,8000
409.3,6400
410.7,6405
412.1,8000
413.4,6395
414.7,7995
416.1,8790
417.5,7200
418.8,11200
420.2,8005
421.6,7136
423.0,9596
424.3,11195
425.7,10385
427.0,10419
428.4,10385
429.7,7995
431.1,9610
432.5,8010
433.8,7200
435.3,7196
436.7,8016
438.1,10395
439.5,7200
440.9,9600
442.2,6395
443.5,7990
444.9,8000
446.2,7990
447.6,10395
448.9,5605
450.2,7091
451.6,8795
452.9,7200
454.2,7229
455.6,6269
456.9,7044
458.2,6395
459.6,3190
461.0,3995
462.4,3195
463.8,4005
465.3,7146
466.7,7995
468.1,6395
469.4,2270
470.8,4795
472.1,6395
473.5,7205
474.9,6390
476.3,7200
477.7,7195
479.0,5489
480.3,5600
481.7,5600
483.0,6400
484.4,5605
485.7,7200
487.1,8795
488.4,9605
489.7,7190
491.1,7995
492.4,7205
493.8,10336
495.2,10390
496.5,8790
497.9,8800
499.3,6395
500.6,7985
502.0,9634
503.3,11200
504.7,8800
506.1,8810
507.5,9595
508.8,10400
510.2,7228
511.6,10401
513.0,12800
514.3,9474
515.7,9605
517.1,9600
518.5,7898
519.9,4800
521.2,6405
522.6,8000
524.0,6395
525.3,4805
526.7,2395
528.1,1560
529.5,5
530.9,-1624
532.2,0
533.6,3190
534.9,-5
536.3,1511
537.7,-1600
539.1,-4000
540.4,-3200
541.8,-10
543.2,-805
544.5,-1605
545.9,-1595
547.2,-1605
548.6,-1605
549.9,-5
551.2,1590
552.6,2412
554.0,2395
555.3,3268
556.6,7195
558.0,6405
559.4,4005
560.7,3243
562.1,4010
563.5,6395
564.8,6400
566.2,4800
567.6,5595
569.0,4000
570.4,3995
571.8,6416
573.1,8785
574.5,7995
575.9,7175
577.2,7195
578.6,4790
579.9,5475
581.3,7195
582.7,6395
584.1,7195
585.4,4800
586.8,4795
588.2,4795
589.5,3995
590.9,5590
592.2,3990
593.6,7190
594.9,5600
596.3,6405
597.6,7176
598.9,6395
600.3,8790
601.6,9585
603.0,8800
604.4,10400
605.8,11995
607.2,13429
608.6,7996
609.9,9595
611.3,12005
612.7,11205
614.0,11879
615.4,10395
616.8,11185
618.2,12785
619.6,11950
621.0,11980
622.3,12795
623.7,11995
625.1,13595
626.4,15995
627.7,15985
629.1,13590
630.5,10375
631.8,15200
633.2,14395
634.5,17595
635.9,16000
637.3,14385
638.7,13590
640.0,16795
641.4,15190
642.7,14421
644.1,14385
645.5,13600
646.9,15195
648.2,15195
649.6,14381
650.9,14400
652.3,15951
653.6,15995
655.1,17618
656.4,16785
657.7,15200
659.0,13605
660.4,12800
661.7,12795
663.1,14400
664.4,14390
665.8,15200
667.1,16795
668.5,15234
669.8,14395
671.2,13600
672.5,16756
673.9,17600
675.2,17585
676.6,16800
677.9,16810
679.3,15195
680.6,16698
682.0,15995
683.3,15180
684.7,14211
686.1,13590
687.4,15200
688.7,14385
690.1,14395
691.4,13737
692.8,15190
694.1,13595
695.5,13595
696.8,12805
698.2,11200
699.6,10400
700.9,12785
702.3,12829
703.7,11190
705.0,12790
706.4,10400
707.8,13595
709.2,12796
710.6,13595
712.0,13546
713.3,15995
714.6,16000
716.0,15195
717.4,15195
718.7,12795
720.1,14395
721.5,13590
722.8,15190
724.2,14395
725.6,11190
726.9,13595
728.3,14331
729.6,14390
731.0,13600
732.4,13595
733.7,15190
735.1,17595
736.5,16044
737.8,16654
739.2,14400
740.6,16800
741.9,15190
743.3,15200
744.7,14400
746.0,15200
747.4,15995
748.8,10400
750.2,12015
751.6,10395
753.0,15180
754.3,15190
755.6,14400
757.0,14385
758.4,13590
759.8,11190
761.2,13600
762.6,8790
763.9,9595
765.3,12000
766.7,11200
768.1,9656
769.5,9600
770.8,9605
772.2,8790
773.5,10399
774.9,11200
776.2,11990
777.6,11995
778.9,10400
780.4,9590
781.7,12000
783.1,12800
784.5,13595
785.9,10400
787.2,12000
788.6,12770
790.0,10390
791.3,12800
792.6,11990
794.0,12800
795.3,12731
796.6,15990
798.0,15190
799.3,15995
800.6,16795
802.0,15190
803.4,16800
804.7,18346
806.1,17615
807.5,17595
808.9,14395
810.2,13605
811.7,16795
813.0,15200
814.4,16000
815.8,14395
817.1,13595
818.5,15185
819.9,13595
821.2,15874
822.6,12000
824.0,13600
825.3,13600
826.7,16810
828.1,16795
829.5,12790
830.9,14390
832.2,14415
833.6,16805
834.9,17600
836.3,16001
837.6,13590
839.1,12760
840.4,12780
841.8,12790
843.2,11200
844.6,11990
846.0,12808
847.3,11195
848.6,11195
850.0,11931
851.4,11995
852.8,11190
854.2,12005
855.6,15175
856.9,11215
858.3,11238
859.7,8790
861.1,9650
862.5,11995
863.9,14390
865.3,13595
866.6,11870
867.9,11195
869.3,7990
870.6,9595
872.0,10400
873.4,8790
874.8,7990
876.1,10400
877.5,9486
878.8,6274
880.2,5605
881.6,9595
883.0,9595
884.3,9571
885.7,7985
887.1,7205
888.4,8800
889.8,8000
891.2,9580
892.5,8790
893.9,8790
895.2,8790
896.6,7190
897.9,8000
899.3,7271
900.6,5643
902.0,7190
903.4,7190
904.8,5631
906.2,7200
