# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
45203,0.747,-45210407319790,0,0,18532.0,110187.4,12.5,0.162,0,ACQUIRING
45204,1.748,-45210407330766,0,0,20434.5,106099.5,12.9,0.173,0,ACQUIRING
45205,2.748,-45210407289256,0,0,22232.5,102782.1,13.2,0.183,0,ACQUIRING
45206,3.748,-45210407276606,0,0,23161.7,99157.0,13.3,0.187,0,ACQUIRING
45207,4.748,-45210407269368,0,0,23432.2,95593.5,13.2,0.186,0,ACQUIRING
45208,5.749,-45210407259718,0,0,23347.5,92357.4,13.3,0.190,0,ACQUIRING
45209,6.748,-45210407223088,0,0,23521.2,89451.8,13.4,0.193,0,ACQUIRING
45210,7.748,-45210407195011,0,0,23717.4,86823.2,13.4,0.197,0,ACQUIRING
45211,8.749,-45210407160192,0,0,24019.0,84496.3,13.5,0.199,0,ACQUIRING
45212,9.749,-45210407114122,0,0,24528.6,82646.9,13.4,0.198,0,ACQUIRING
45213,10.750,-45210407060251,0,0,25259.2,81526.4,13.4,0.196,0,ACQUIRING
45214,11.750,-45210406994837,0,0,26251.6,81622.8,13.2,0.192,0,ACQUIRING
45215,12.749,-45210407038947,0,0,26312.1,79754.9,13.2,0.190,0,ACQUIRING
45216,13.749,-45210406943325,0,0,26999.0,79301.6,13.2,0.188,0,ACQUIRING
45217,14.750,-45210406966643,0,0,27109.1,77670.0,13.2,0.187,0,ACQUIRING
45218,15.750,-45210406856037,0,0,27859.1,78092.7,13.2,0.185,0,ACQUIRING
45219,16.750,-45210406867139,0,0,28171.6,76963.5,13.3,0.181,0,ACQUIRING
45220,17.750,-45210406831478,0,0,28475.4,75937.2,13.3,0.183,0,ACQUIRING
45221,18.751,-45210406829431,0,0,28551.9,74598.2,13.7,0.179,0,ACQUIRING
45222,19.750,-45210406819178,0,0,28503.8,73313.8,13.7,0.176,0,ACQUIRING
45223,20.752,-45210406705682,0,0,28947.1,73310.5,13.8,0.180,0,ACQUIRING
45224,21.750,-45210406679924,0,0,29297.5,72962.3,13.8,0.178,0,ACQUIRING
45225,22.751,-45210406732654,0,0,29175.9,71925.3,13.6,0.190,0,ACQUIRING
45226,23.750,-45210406678952,0,0,29190.9,70829.0,13.6,0.190,0,ACQUIRING
45227,24.750,-45210406614901,0,0,29360.5,70046.1,13.7,0.189,0,ACQUIRING
45228,25.751,-45210406541479,0,0,29692.1,70148.9,13.7,0.190,0,ACQUIRING
45229,26.750,-45210406578393,0,0,29704.4,69169.4,13.8,0.190,0,ACQUIRING
45230,27.751,-45210406573720,0,0,29618.6,68317.1,13.8,0.191,0,ACQUIRING
45231,28.751,-45210406468305,0,0,29822.3,67957.0,13.8,0.193,0,ACQUIRING
45232,29.750,-45210406472239,0,0,29880.1,67127.6,13.9,0.195,0,ACQUIRING
45233,30.750,-45210406475777,0,0,29818.9,66341.2,13.8,0.186,0,ACQUIRING
45234,31.751,-45210406434747,0,0,29801.5,65532.3,14.0,0.192,0,ACQUIRING
45235,32.751,-45210406333065,0,0,30004.1,65493.1,14.6,0.205,0,ACQUIRING
45236,33.751,-45210406313042,0,0,30152.0,65153.0,15.3,0.147,0,ACQUIRING
45237,34.751,-45210406283984,0,0,30278.3,64742.4,15.5,0.117,0,ACQUIRING
45238,35.751,-45210406228910,0,0,30455.2,64719.3,15.9,0.075,0,ACQUIRING
45239,36.751,-45210406289288,0,0,30379.1,64150.7,16.3,0.038,0,ACQUIRING
45240,37.752,-45210406176399,0,0,30514.0,63931.4,16.3,0.017,0,ACQUIRING
