# elapsed_s,phase_us,yellow_edge_px,pink_edge_px,file
30.0,,,, scope_0030s.bmp
60.4,725.6,344,480,scope_0060s.bmp
90.7,688.3,344,473,scope_0090s.bmp
121.0,688.3,344,473,scope_0121s.bmp
151.4,698.9,344,475,scope_0151s.bmp
181.7,698.9,344,475,scope_0181s.bmp
212.0,714.9,344,478,scope_0212s.bmp
242.4,725.6,344,480,scope_0242s.bmp
272.7,730.9,344,481,scope_0272s.bmp
303.1,709.6,344,477,scope_0303s.bmp
333.4,714.9,344,478,scope_0333s.bmp
363.7,698.9,344,475,scope_0363s.bmp
394.0,682.9,344,472,scope_0394s.bmp
424.3,704.3,344,476,scope_0424s.bmp
454.7,720.3,344,479,scope_0454s.bmp
485.0,698.9,344,475,scope_0485s.bmp
515.4,730.9,344,481,scope_0515s.bmp
545.7,688.3,344,473,scope_0545s.bmp
576.0,714.9,344,478,scope_0576s.bmp
