# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
55068,0.716,-54410574249685,-52003,9393,-30522.3,32066.6,12.3,-0.192,-69116,LOCKED
55069,1.717,-54410574216447,11337,72733,-30520.5,32072.9,12.2,-0.185,-2636,LOCKED
55070,2.717,-54410574284342,-23717,37679,-30595.1,32132.7,12.3,-0.186,-33284,LOCKED
55071,3.718,-54410574299553,-8039,53357,-30596.2,32135.3,12.2,-0.175,-24020,LOCKED
55072,4.717,-54410574307859,11807,73203,-30495.6,31575.8,12.2,-0.163,2319,LOCKED
55073,5.718,-54410574335440,13935,75331,-30480.2,31624.7,12.1,-0.148,2197,LOCKED
55074,6.717,-54410574356250,20660,82056,-30369.8,31224.4,12.0,-0.139,15293,LOCKED
55075,7.719,-54410574381454,23393,84789,-30289.2,31235.2,11.9,-0.112,17855,LOCKED
55076,8.718,-54410574400586,33779,95175,-30307.6,30992.4,12.0,-0.070,24074,LOCKED
55077,9.718,-54410574440505,22204,83600,-30248.0,31097.6,12.0,-0.060,-92594,LOCKED
55078,10.720,-54410574550898,-52689,8707,-30418.5,31331.5,11.9,-0.066,-64359,LOCKED
55079,11.718,-54410574564615,-33453,27943,-30487.3,31649.1,11.7,-0.039,-44918,LOCKED
55080,12.718,-54410574558971,1527,62923,-30433.2,31398.1,11.7,-0.041,422,LOCKED
55081,13.718,-54410574581770,9009,70405,-30440.8,31369.9,11.8,-0.013,2929,LOCKED
55082,14.718,-54410574604135,14794,76190,-30352.8,31064.7,11.5,-0.007,-95248,LOCKED
55083,15.718,-54410574717105,-62366,0,-30517.2,31914.5,11.2,-0.001,-61553,LOCKED
55084,16.717,-54410574733855,-46276,16090,-30554.3,32347.9,11.2,-0.001,-50973,LOCKED
55085,17.718,-54410574769659,-46968,15398,-30700.2,32601.8,11.2,0.006,-35545,LOCKED
55086,18.719,-54410574807787,-51123,11243,-30775.9,33315.3,11.1,0.004,-20702,LOCKED
55087,19.718,-54410574785584,1662,64028,-30769.1,33314.7,11.1,0.011,-2339,LOCKED
55088,20.718,-54410574840150,-21882,40484,-30745.1,33095.9,10.8,0.017,12217,LOCKED
55089,21.718,-54410574835275,13822,76188,-30772.2,32909.2,10.7,0.016,8999,LOCKED
55090,22.718,-54410574937065,-54811,7555,-30798.1,33299.6,10.8,0.022,-59536,LOCKED
55091,23.718,-54410574968471,-51136,11230,-30923.5,33903.1,10.7,0.022,-57300,LOCKED
55092,24.718,-54410574987219,-37671,24695,-30924.1,33910.1,10.7,0.021,-41481,LOCKED
55093,25.718,-54410575002981,-20291,42075,-30999.4,33883.0,10.8,0.014,-25464,LOCKED
55094,26.718,-54410575006302,8129,70495,-31049.4,33533.3,10.9,0.019,6629,LOCKED
55095,27.719,-54410575037711,8735,71101,-31111.5,33014.8,10.9,0.019,19893,LOCKED
55096,28.718,-54410575102695,-23613,38753,-31147.1,33167.1,10.8,0.017,23731,LOCKED
55097,29.719,-54410575157629,-42675,19691,-31308.3,32997.4,10.9,0.012,-77330,LOCKED
55098,30.720,-54410575186433,-38077,24289,-31347.8,33333.3,10.8,0.010,-54391,LOCKED
55099,31.718,-54410575201569,-19218,43148,-31446.0,33060.8,10.8,0.009,-28649,LOCKED
55100,32.719,-54410575178256,32831,95197,-31367.4,33320.5,10.8,0.009,29447,LOCKED
55101,33.719,-54410575194405,46662,109028,-31376.9,33171.8,10.8,0.009,49521,LOCKED
55102,34.719,-54410575312019,-36964,25402,-31443.7,33549.1,10.4,0.006,-45560,LOCKED
55103,35.719,-54410575326127,-16258,46108,-31582.4,32521.4,10.3,0.006,-33316,LOCKED
