# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
62234,0.241,-54410795054883,19867,76999,-30540.1,30912.7,8.8,-0.209,10290,LOCKED
62235,1.240,-54410795112461,-7487,49645,-30512.0,30764.7,8.8,-0.204,-11644,LOCKED
62236,2.240,-54410795130218,5827,62959,-30549.2,30554.9,8.6,-0.188,-4154,LOCKED
62237,3.240,-54410795136897,26302,83434,-30426.1,30179.0,9.0,-0.161,23411,LOCKED
62238,4.241,-54410795174831,18300,75432,-30432.3,30135.2,9.2,-0.126,-87277,LOCKED
62239,5.240,-54410795229204,-6220,50912,-30393.5,29899.5,9.4,-0.108,-85641,LOCKED
62240,6.240,-54410795293148,-36624,20508,-30487.2,30224.2,9.4,-0.108,-30339,LOCKED
62241,7.240,-54410795311725,-24261,32871,-30469.0,30037.2,9.5,-0.080,-18829,LOCKED
62242,8.240,-54410795340862,-20123,37009,-30573.4,29681.2,9.5,-0.080,-15456,LOCKED
62243,9.241,-54410795370620,-17860,39272,-30614.8,29769.8,9.3,-0.065,-5497,LOCKED
62244,10.241,-54410795388222,-5295,51837,-30584.0,29615.8,9.3,-0.064,3777,LOCKED
62245,11.241,-54410795418936,-4262,52870,-30634.1,29437.0,9.3,-0.063,19064,LOCKED
62246,12.241,-54410795477146,-30421,26711,-30653.1,29606.3,9.3,-0.064,29568,LOCKED
62247,13.240,-54410795536064,-53509,3623,-30818.5,29976.9,9.4,-0.078,-60531,LOCKED
62248,14.241,-54410795575050,-57756,0,-30915.0,30983.8,9.5,-0.067,-51627,LOCKED
62249,15.241,-54410795587876,-38189,19567,-30924.0,31092.7,9.5,-0.068,-44626,LOCKED
62250,16.241,-54410795655351,-69380,0,-31072.0,32424.8,9.5,-0.070,18093,LOCKED
62251,17.241,-54410795686540,-65969,3411,-31135.5,33396.0,9.5,-0.062,-80766,LOCKED
62252,18.242,-54410795697682,-41988,27392,-31261.6,33634.2,9.5,-0.063,-51185,LOCKED
62253,19.241,-54410795736876,-45012,24368,-31428.0,33507.4,9.9,-0.078,-42575,LOCKED
62254,20.241,-54410795740346,-14501,54879,-31529.3,33045.7,9.8,-0.079,-26367,LOCKED
62255,21.241,-54410795757051,-36,69344,-31511.6,33016.8,9.9,-0.086,-2420,LOCKED
62256,22.241,-54410795770417,16447,85827,-31457.2,33033.2,9.9,-0.087,16418,LOCKED
62257,23.241,-54410795784358,32749,102129,-31452.1,33083.9,9.7,-0.088,29607,LOCKED
62258,24.242,-54410795822744,23204,92584,-31362.4,33015.9,9.8,-0.095,-83018,LOCKED
62259,25.241,-54410795935922,-54626,14754,-31467.4,33831.5,9.6,-0.092,-58158,LOCKED
62260,26.241,-54410795901201,12657,82037,-31542.3,33029.5,9.4,-0.095,10021,LOCKED
62261,27.241,-54410795916818,26405,95785,-31479.2,33198.2,9.1,-0.098,30953,LOCKED
62262,28.241,-54410795949372,25613,94993,-31535.8,32441.0,9.0,-0.100,-77157,LOCKED
62263,29.241,-54410796032989,-24161,45219,-31609.0,32518.9,9.2,-0.106,-19944,LOCKED
62264,30.241,-54410796045339,-4850,64530,-31603.5,32507.5,8.8,-0.110,57,LOCKED
62265,31.241,-54410796047357,24214,93594,-31618.2,32372.2,8.7,-0.119,28944,LOCKED
62266,32.242,-54410796065927,34224,103604,-31525.8,32607.9,8.8,-0.124,40286,LOCKED
62267,33.242,-54410796193021,-56000,13380,-31695.3,33024.2,8.9,-0.124,-57666,LOCKED
62268,34.242,-54410796218719,-47347,22033,-31747.0,33556.3,8.8,-0.127,-57191,LOCKED
62269,35.242,-54410796245320,-37986,31394,-31891.0,33416.9,8.7,-0.125,-45960,LOCKED
62270,36.242,-54410796234591,4254,73634,-31879.3,33420.3,8.9,-0.130,-1381,LOCKED
62271,37.242,-54410796272816,285,69665,-31996.7,32149.4,8.6,-0.125,-3892,LOCKED
62272,38.242,-54410796286010,18300,87680,-31988.5,32192.2,8.6,-0.124,11122,LOCKED
62273,39.242,-54410796308224,25431,94811,-31900.9,32204.9,8.6,-0.122,20268,LOCKED
62274,40.242,-54410796325962,37375,106755,-31854.1,32570.2,8.6,-0.124,32804,LOCKED
62275,41.242,-54410796351687,42877,112257,-31894.7,31847.3,8.8,-0.124,37290,LOCKED
62276,42.241,-54410796380853,44847,114227,-31932.1,31153.9,8.8,-0.122,-70718,LOCKED
62277,43.242,-54410796511227,-50610,18770,-31994.6,31837.9,8.8,-0.120,-55863,LOCKED
62278,44.242,-54410796538529,-41507,27873,-32142.3,31808.1,8.8,-0.117,-54023,LOCKED
62279,45.242,-54410796558859,-28490,40890,-32154.1,31905.8,8.8,-0.122,-39889,LOCKED
62280,46.242,-54410796551446,11452,80832,-32191.6,31630.4,8.8,-0.119,2660,LOCKED
62281,47.242,-54410796575959,17675,87055,-32149.5,31709.7,8.9,-0.117,15604,LOCKED
