# elapsed_s,phase_ns
0.4,-103673
1.7,-103705
3.0,-103663
4.4,-103654
5.7,-103723
7.0,-103692
8.3,-103673
9.6,-103723
10.9,-103694
12.2,-103733
13.6,-103732
14.9,-103672
16.2,-103713
17.5,-103705
18.9,-103713
20.2,-103705
21.5,-103714
22.8,-103690
24.2,-103733
25.5,-103705
26.8,-103662
28.1,-103692
29.4,-103735
30.8,-103733
32.1,-103703
33.4,-103683
34.7,-103713
36.0,-103721
37.3,-103723
38.7,-103703
40.0,-103693
41.3,-103722
42.6,-103643
43.9,-103663
45.2,-103693
46.6,-103621
47.9,-103694
49.2,-103697
50.6,-103721
51.9,-103647
53.2,-103732
54.5,-103663
55.9,-103673
57.2,-9594
58.5,49848
59.8,-103683
61.2,-103737
62.5,-103693
63.8,-103683
65.1,-103704
66.4,-103723
67.8,-103701
69.1,-103738
70.4,-103684
71.7,-103723
73.1,-103694
74.4,-103733
75.7,-103693
77.1,-103703
78.4,-103704
79.7,-103681
81.1,-103701
82.4,-103736
83.7,-103683
85.0,-103633
86.4,-103713
87.7,-103701
89.0,-103722
90.3,-103688
91.6,-103672
92.9,-103709
94.3,-103653
95.6,-103714
96.9,-103663
98.2,-103725
99.6,-103683
100.9,-103703
102.2,-103695
103.5,-103683
104.8,-103654
106.2,-103694
107.5,-103641
108.8,-103683
110.1,-103702
111.4,-103713
112.7,-103643
114.1,-103663
115.4,-103693
116.7,-103693
118.0,-103733
119.4,-103717
120.7,-103706
122.0,-103653
123.3,-103673
124.6,-103693
126.0,-103704
127.3,-103733
128.6,-103661
129.9,-103711
131.2,-103703
132.6,-103673
133.9,-103684
135.2,-103713
136.6,-103693
137.9,-103702
139.2,-103643
140.5,-103682
141.8,-103722
143.2,-103713
144.5,-103740
145.8,-103713
147.1,-103694
148.4,-103683
149.7,-103674
151.1,-103733
152.4,-103683
153.7,-103710
155.0,-103653
156.4,-103702
157.7,-103672
159.0,-103663
160.3,-103723
161.6,-103641
163.1,-103722
164.4,-103697
165.7,-103673
167.0,-103640
168.3,-103672
169.6,-103693
171.0,-103713
172.3,-103673
173.6,-103671
174.9,-103713
176.2,-103703
177.6,-103741
178.9,-103702
180.2,-103723
181.6,-103711
182.9,-103715
184.2,-103683
185.5,-103692
186.9,-103713
188.1,-103672
189.5,-103703
190.8,-103644
192.1,-103714
193.4,-103703
194.8,-103692
196.1,-103724
197.4,-103710
198.8,-103713
200.1,-103672
201.4,-103702
202.7,-103668
204.1,-103676
205.4,-103653
206.7,-103720
208.0,-103673
209.3,-103732
210.7,-103693
212.0,-103653
213.3,-103731
214.6,-103712
215.9,-103682
217.3,-103714
218.6,-103702
219.9,-103673
221.2,-103732
222.6,-103733
223.9,-103732
225.2,-103672
226.5,-103686
227.9,-103702
229.2,-103723
230.5,-103713
231.8,-103723
233.2,-103732
234.5,-103643
235.8,-103693
237.1,-103683
238.4,-103623
239.7,-103704
241.1,-103670
242.4,-103733
243.7,-103692
245.1,-103663
246.4,-103698
247.7,-103712
249.0,-103694
250.4,-103733
251.7,-103683
253.1,-103731
254.4,-103715
255.7,-103713
257.1,-103675
258.4,-103652
259.7,-103731
261.0,-103674
262.3,-103733
263.7,-103720
265.0,-103723
266.3,-103712
267.6,-103652
268.9,-103694
270.3,-103712
271.6,-103682
272.9,-103674
274.2,-103723
275.6,-103653
276.9,-103713
278.2,-103703
279.5,-103693
280.9,-103682
282.2,-103723
283.5,-103723
284.8,-103703
286.1,-103703
287.4,-103714
288.8,-103711
290.1,-103703
291.4,-103741
292.7,-103695
294.0,-103733
295.4,-103643
296.7,-103682
298.0,-103713
299.3,-103666
300.6,-103733
302.0,-103603
303.3,-103692
304.6,-103723
305.9,-103713
307.2,-103740
308.6,-103643
309.9,-103721
311.2,-103697
312.6,-103694
313.9,-103714
315.2,-103721
316.5,-103682
317.8,-103706
319.2,-103699
320.5,-103711
321.8,-103691
323.1,-103653
324.4,-103701
325.7,-103712
327.1,-103682
328.4,-103683
329.7,-103733
331.0,-103662
332.3,-103713
333.7,-103702
335.0,-103739
336.3,-103683
337.6,-103712
339.0,96879
340.3,93047
