# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
60036,0.851,-54410726810543,40231,102404,-30791.1,31672.7,8.7,0.060,18968,LOCKED
60037,1.852,-54410726860425,19452,81625,-30740.5,31757.1,8.7,0.066,6260,LOCKED
60038,2.851,-54410726887202,20861,83034,-30649.6,31604.7,9.2,0.078,6332,LOCKED
60039,3.851,-54410726920781,16914,79087,-30627.8,31682.2,9.1,0.082,3470,LOCKED
60040,4.851,-54410726946511,19343,81516,-30538.6,31501.1,9.0,0.086,-101891,LOCKED
60041,5.851,-54410727059532,-58946,3227,-30646.6,32500.2,8.9,0.083,-70010,LOCKED
60042,6.851,-54410727079704,-46847,15326,-30648.4,32527.2,9.0,0.075,-59506,LOCKED
60043,7.851,-54410727101312,-35742,26431,-30690.4,32848.1,9.2,0.068,-46287,LOCKED
60044,8.852,-54410727129474,-29330,32843,-30832.4,32335.5,9.4,0.062,-43878,LOCKED
60045,9.852,-54410727153884,-21003,41170,-30891.1,32416.8,9.5,0.054,-30242,LOCKED
60046,10.852,-54410727168634,-4461,57712,-30903.4,32420.6,10.1,0.045,-12079,LOCKED
60047,11.852,-54410727193790,2691,64864,-30977.0,31850.4,10.2,0.041,-5612,LOCKED
60048,12.852,-54410727223194,3140,65313,-30926.9,31665.7,10.4,0.037,-3361,LOCKED
60049,13.852,-54410727253152,4851,67024,-30971.5,31404.4,10.4,0.036,-4024,LOCKED
60050,14.852,-54410727248279,36654,98827,-30833.8,31284.3,10.5,0.033,37416,LOCKED
60051,15.851,-54410727270096,42305,104478,-30738.8,31766.4,10.4,0.030,39107,LOCKED
60052,16.856,-54410727321424,22056,84229,-30792.3,31097.8,10.8,0.022,-89295,LOCKED
60053,17.852,-54410727432974,-55165,7008,-30874.3,31966.9,11.1,0.014,-57755,LOCKED
60054,18.853,-54410727449976,-39519,22654,-30895.6,32200.7,11.2,0.012,-47118,LOCKED
