# elapsed_s,phase_ns
607.2,14390
608.6,15200
610.0,15200
611.3,15200
612.7,12014
614.1,9595
615.4,11990
616.8,11156
618.2,7985
619.5,10400
620.9,12810
622.3,10098
623.6,7812
625.0,8800
626.4,8805
627.8,10400
629.1,12005
630.5,12795
631.9,12795
633.3,8000
634.7,9371
636.0,11195
637.4,9595
638.8,10395
640.1,9595
641.4,7447
642.8,7210
644.2,8005
645.5,8622
646.8,8010
648.2,7999
649.6,8015
651.0,11146
652.4,11200
653.7,7195
655.1,7205
656.6,8791
658.0,8810
659.3,10405
660.7,10400
662.1,10404
663.5,7205
664.8,6410
666.2,14410
667.6,16005
669.0,14405
670.3,13605
671.7,12158
673.1,14390
674.5,14390
675.8,14395
677.2,12795
678.6,14365
680.0,11200
681.3,12005
682.7,13600
684.1,13605
685.4,13595
686.8,15200
688.2,16805
689.5,16010
690.9,15195
692.3,14400
693.7,11195
695.1,12795
696.4,18400
697.8,15220
699.1,14390
700.5,13590
701.9,12800
703.3,11200
704.7,13453
706.1,12000
707.5,12805
708.8,12056
710.2,14395
711.6,13595
713.0,12790
714.4,11995
715.7,11205
717.1,13639
718.5,13468
719.9,11200
721.3,8821
722.7,9600
724.1,8000
725.5,6400
726.8,3995
728.1,3200
729.5,1600
730.9,1605
732.3,1600
733.7,1605
735.1,701
736.5,1605
737.8,805
739.2,1605
740.6,2215
742.0,1590
743.4,3968
744.7,4805
746.1,6400
747.4,9580
748.8,8796
750.2,7995
751.5,12805
752.8,13605
754.2,11143
755.6,12053
757.0,11205
758.4,11111
759.8,11995
761.2,10400
762.5,11066
763.9,9595
765.3,7190
766.7,6405
768.1,7185
769.5,11195
770.8,8815
772.2,7200
773.6,4739
775.0,3998
776.4,5609
777.8,4800
779.2,3979
780.6,1605
781.8,3205
783.2,-0
784.6,2400
786.0,1496
787.4,-2524
788.8,-800
790.2,10
791.5,-790
792.9,-1615
794.3,-5600
795.7,-3995
797.1,-3326
798.4,-3200
799.7,-3343
801.1,4800
802.5,3200
803.8,800
805.2,3155
806.6,3021
807.9,2395
809.2,3991
810.6,4600
811.9,7195
813.3,6395
814.7,9545
816.1,7205
817.4,10405
818.8,11210
820.2,12814
821.6,14410
823.0,15195
824.3,10395
825.7,12000
827.0,13600
828.4,17600
829.8,16796
831.2,14410
832.5,16662
833.9,15205
835.3,17610
836.7,18390
838.0,17595
839.4,18395
840.7,18405
842.1,17605
843.5,15200
844.9,15195
846.3,18400
847.7,18400
849.1,16805
850.5,11995
851.8,12000
853.3,12000
854.6,13605
856.0,13600
857.4,12805
858.8,12800
860.2,12005
861.5,11195
862.9,11048
864.3,12800
865.7,13600
867.1,12805
868.6,11205
869.9,12795
871.3,12800
872.7,15210
874.1,12795
875.5,13605
876.8,13600
878.2,15990
879.6,16005
881.0,16810
882.4,16805
883.8,14410
885.2,17605
886.5,19195
887.9,17595
889.3,17605
890.7,16800
892.1,19195
893.5,15995
894.8,15995
896.2,16005
897.6,14385
899.0,13595
900.4,15990
901.8,16805
903.1,15200
904.5,11995
905.8,12054
907.2,9605
908.6,8800
910.0,7995
911.3,5595
912.7,7200
914.1,7205
915.5,5605
916.8,4795
918.2,6405
919.6,4005
921.0,2390
922.3,800
923.7,-1551
925.1,-805
926.5,-800
927.9,-751
929.2,-5
930.6,21
932.0,2258
933.4,-10
934.8,-10
936.2,2410
937.5,800
938.9,3200
940.3,4755
941.7,3185
943.1,3200
944.5,4010
945.8,3807
947.2,3978
948.6,3204
949.9,3195
951.2,3932
952.6,4024
954.0,7202
955.4,9760
956.8,12005
958.2,15205
959.5,13643
960.9,13551
962.3,16800
963.7,13600
965.1,16800
966.5,15200
967.9,16805
969.3,16005
970.6,16010
972.0,17610
973.4,16005
974.8,19205
976.1,18405
977.6,19190
978.9,19209
980.3,20805
981.7,23765
983.1,20795
984.5,17600
985.8,19200
987.3,19985
988.7,20741
990.1,20800
991.5,22400
992.8,20010
994.2,20000
995.6,19857
997.0,19205
998.4,18405
999.8,20005
1001.1,19200
1002.5,19200
1003.9,17600
1005.3,18380
1006.7,19195
1008.1,20800
1009.5,16805
1010.8,13601
1012.2,14405
1013.6,13595
1015.0,12800
1016.4,13605
1017.8,12795
1019.1,15205
1020.6,15980
1021.8,17600
1023.2,12805
1024.6,11995
1026.0,13519
1027.3,14400
1028.7,12795
1030.1,10405
1031.5,12005
1032.8,12000
1034.2,13442
1035.6,13615
1037.0,11205
1038.4,11956
1039.8,13605
1041.2,15980
1042.5,14400
1043.9,13605
1045.3,16807
1046.6,19205
1047.9,18402
1049.3,18405
1050.7,18405
1052.1,20000
1053.5,16056
1054.8,18400
1056.2,19210
1057.6,18415
1059.0,18395
1060.4,16800
1061.8,15911
1063.2,17595
1064.5,15180
1065.9,17600
1067.3,14400
1068.6,15195
1070.0,15205
1071.4,15990
1072.8,15185
1074.1,15201
1075.5,16655
1076.8,16820
1078.2,17595
1079.5,19224
1080.9,19190
1082.3,15200
1083.7,14405
1085.1,15200
1086.5,16795
1087.8,18410
1089.2,19220
1090.6,141840
1092.0,16800
1093.4,13600
1094.8,14172
1096.2,13600
1097.5,17605
1098.9,16800
1100.3,14395
1101.7,12000
1103.1,11200
1104.4,12000
1105.8,10405
1107.2,11995
1108.5,12009
1109.9,11995
1111.3,17590
1112.7,15210
1114.1,12000
1115.5,12795
1116.8,13594
1118.2,13600
1119.6,15281
1120.9,16800
1122.3,17654
1123.6,11990
1125.0,13728
1126.4,16800
1127.8,17526
1129.2,19995
1130.5,17605
1131.9,16691
1133.3,14405
1134.6,15170
1136.0,16939
1137.5,17610
1138.8,17746
1140.2,17615
1141.6,17615
1143.0,19180
1144.4,18400
1145.8,18307
1147.2,16010
1148.5,17595
1149.9,17590
1151.3,20000
1152.7,19205
1154.1,16005
1155.5,17600
1156.8,17595
1158.2,18371
1159.6,20005
1161.0,18400
1162.4,15837
1163.8,15200
1165.2,11995
1166.5,14341
1167.8,14400
1169.2,12000
1170.6,11165
1171.9,11980
1173.3,10410
1174.7,8805
1176.1,10405
1177.5,9639
1178.8,10410
1180.2,10405
1181.5,11200
1182.8,10405
1184.2,9575
1185.5,8725
1186.9,8000
1188.3,6400
1189.7,7999
1191.1,9601
1192.5,8800
1193.8,7200
1195.1,8810
1196.5,9600
1197.9,11210
1199.2,8805
1200.6,10405
1202.0,9565
1203.3,6395
1204.7,8009
1206.1,8800
1207.4,8005
1208.7,6182
1210.1,7195
1211.5,4005
1212.9,4800
1214.2,3205
1215.6,1605
1217.0,751
1218.3,-1605
1219.7,-1595
1221.0,-1605
1222.3,-1590
1223.7,-4005
1225.0,-1595
1226.4,-1600
1227.8,-790
1229.2,3199
1230.5,1348
1231.8,-1590
1233.3,-2395
1234.6,805
1236.0,1620
1237.4,-800
1238.7,-795
1240.1,-2537
1241.5,-1610
1242.8,790
1244.2,3000
1245.5,4760
1246.9,4000
1248.3,5603
1249.7,6405
1251.0,7210
