# elapsed_s,phase_us,yellow_edge_px,pink_edge_px,file
30.0,768.3,344,488,scope_0030s.bmp
60.4,763.0,344,487,scope_0060s.bmp
90.7,672.3,344,470,scope_0090s.bmp
121.1,747.0,344,484,scope_0121s.bmp
151.4,704.3,344,476,scope_0151s.bmp
181.7,741.6,344,483,scope_0181s.bmp
212.0,698.9,344,475,scope_0212s.bmp
242.3,730.9,344,481,scope_0242s.bmp
272.7,784.3,344,491,scope_0272s.bmp
303.0,554.9,344,448,scope_0303s.bmp
333.4,725.6,344,480,scope_0333s.bmp
363.7,693.6,344,474,scope_0363s.bmp
394.0,693.6,344,474,scope_0394s.bmp
424.3,565.5,344,450,scope_0424s.bmp
454.7,554.9,344,448,scope_0454s.bmp
485.0,730.9,344,481,scope_0485s.bmp
515.3,698.9,344,475,scope_0515s.bmp
545.7,714.9,344,478,scope_0545s.bmp
576.0,704.3,344,476,scope_0575s.bmp
